,3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,Team,opp_TRB,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,opponent,Game_Id
0,12.0,29.0,22.0,3.0,31.0,73.0,34.0,50.0,14.0,30.0,108.0,7.0,13.0,47.0,0,1,LA Lakers,36.0,3.0,10.0,16.0,3.0,28.0,79.0,31.0,39.0,90.0,11.0,7.0,32.0,11.0,Houston,10/28/2014_LA Lakers_Houston
1,3.0,10.0,16.0,3.0,28.0,79.0,31.0,39.0,11.0,32.0,90.0,7.0,11.0,36.0,1,0,Houston,47.0,12.0,29.0,22.0,3.0,31.0,73.0,34.0,50.0,108.0,14.0,7.0,30.0,13.0,LA Lakers,10/28/2014_LA Lakers_Houston
2,4.0,11.0,17.0,9.0,32.0,84.0,16.0,21.0,16.0,25.0,84.0,5.0,18.0,56.0,0,0,New Orleans,62.0,4.0,17.0,20.0,17.0,41.0,101.0,15.0,31.0,101.0,26.0,10.0,17.0,9.0,Orlando,10/28/2014_New Orleans_Orlando
3,4.0,17.0,20.0,17.0,41.0,101.0,15.0,31.0,26.0,17.0,101.0,10.0,9.0,62.0,1,1,Orlando,56.0,4.0,11.0,17.0,9.0,32.0,84.0,16.0,21.0,84.0,16.0,5.0,25.0,18.0,New Orleans,10/28/2014_New Orleans_Orlando
4,8.0,21.0,17.0,3.0,38.0,78.0,16.0,19.0,9.0,20.0,100.0,9.0,10.0,33.0,0,0,San Antonio,38.0,14.0,28.0,23.0,3.0,37.0,70.0,13.0,16.0,101.0,9.0,5.0,20.0,20.0,Dallas,10/28/2014_San Antonio_Dallas
5,14.0,28.0,23.0,3.0,37.0,70.0,13.0,16.0,9.0,20.0,101.0,5.0,20.0,38.0,1,1,Dallas,33.0,8.0,21.0,17.0,3.0,38.0,78.0,16.0,19.0,100.0,9.0,9.0,20.0,10.0,San Antonio,10/28/2014_San Antonio_Dallas
6,7.0,19.0,20.0,7.0,39.0,80.0,20.0,26.0,9.0,21.0,105.0,6.0,20.0,39.0,0,0,Boston,35.0,8.0,22.0,28.0,5.0,49.0,88.0,15.0,23.0,121.0,9.0,11.0,25.0,12.0,Brooklyn,10/29/2014_Boston_Brooklyn
7,8.0,22.0,28.0,5.0,49.0,88.0,15.0,23.0,9.0,25.0,121.0,11.0,12.0,35.0,1,1,Brooklyn,39.0,7.0,19.0,20.0,7.0,39.0,80.0,20.0,26.0,105.0,9.0,6.0,21.0,20.0,Boston,10/29/2014_Boston_Brooklyn
8,7.0,14.0,25.0,10.0,39.0,80.0,21.0,24.0,3.0,25.0,106.0,9.0,14.0,35.0,0,0,Charlotte,50.0,6.0,21.0,27.0,9.0,41.0,101.0,20.0,29.0,108.0,15.0,8.0,20.0,10.0,Milwaukee,10/29/2014_Charlotte_Milwaukee
9,6.0,21.0,27.0,9.0,41.0,101.0,20.0,29.0,15.0,20.0,108.0,8.0,10.0,50.0,1,1,Milwaukee,35.0,7.0,14.0,25.0,10.0,39.0,80.0,21.0,24.0,106.0,3.0,9.0,25.0,14.0,Charlotte,10/29/2014_Charlotte_Milwaukee
10,6.0,26.0,15.0,5.0,31.0,84.0,11.0,19.0,8.0,27.0,79.0,4.0,15.0,45.0,0,0,Denver,51.0,6.0,24.0,17.0,4.0,30.0,85.0,23.0,31.0,89.0,14.0,7.0,21.0,15.0,Detroit,10/29/2014_Denver_Detroit
11,6.0,24.0,17.0,4.0,30.0,85.0,23.0,31.0,14.0,21.0,89.0,7.0,15.0,51.0,1,1,Detroit,45.0,6.0,26.0,15.0,5.0,31.0,84.0,11.0,19.0,79.0,8.0,4.0,27.0,15.0,Denver,10/29/2014_Denver_Detroit
12,6.0,21.0,17.0,5.0,34.0,89.0,17.0,30.0,15.0,29.0,91.0,10.0,11.0,42.0,0,0,Indiana,50.0,8.0,25.0,22.0,13.0,38.0,81.0,19.0,28.0,103.0,14.0,5.0,24.0,17.0,Philadelphia,10/29/2014_Indiana_Philadelphia
13,8.0,25.0,22.0,13.0,38.0,81.0,19.0,28.0,14.0,24.0,103.0,5.0,17.0,50.0,1,1,Philadelphia,42.0,6.0,21.0,17.0,5.0,34.0,89.0,17.0,30.0,91.0,15.0,10.0,29.0,11.0,Indiana,10/29/2014_Indiana_Philadelphia
14,6.0,12.0,20.0,4.0,39.0,86.0,17.0,23.0,19.0,21.0,101.0,8.0,23.0,47.0,0,0,Memphis,33.0,4.0,15.0,21.0,5.0,43.0,82.0,15.0,20.0,105.0,10.0,10.0,21.0,17.0,Minnesota,10/29/2014_Memphis_Minnesota
15,4.0,15.0,21.0,5.0,43.0,82.0,15.0,20.0,10.0,21.0,105.0,10.0,17.0,33.0,1,1,Minnesota,47.0,6.0,12.0,20.0,4.0,39.0,86.0,17.0,23.0,101.0,19.0,8.0,21.0,23.0,Memphis,10/29/2014_Memphis_Minnesota
16,6.0,19.0,20.0,2.0,36.0,75.0,17.0,24.0,7.0,20.0,95.0,7.0,14.0,36.0,0,0,Miami,44.0,9.0,28.0,20.0,3.0,39.0,81.0,20.0,23.0,107.0,12.0,9.0,17.0,14.0,Washington,10/29/2014_Miami_Washington
17,9.0,28.0,20.0,3.0,39.0,81.0,20.0,23.0,12.0,17.0,107.0,9.0,14.0,44.0,1,1,Washington,36.0,6.0,19.0,20.0,2.0,36.0,75.0,17.0,24.0,95.0,7.0,7.0,20.0,14.0,Miami,10/29/2014_Miami_Washington
18,7.0,24.0,21.0,4.0,36.0,71.0,25.0,30.0,10.0,18.0,104.0,9.0,15.0,47.0,0,1,New York,38.0,3.0,17.0,19.0,5.0,31.0,85.0,15.0,17.0,80.0,14.0,9.0,22.0,11.0,Chicago,10/29/2014_New York_Chicago
19,3.0,17.0,19.0,5.0,31.0,85.0,15.0,17.0,14.0,22.0,80.0,9.0,11.0,38.0,1,0,Chicago,47.0,7.0,24.0,21.0,4.0,36.0,71.0,25.0,30.0,104.0,10.0,9.0,18.0,15.0,New York,10/29/2014_New York_Chicago
20,4.0,13.0,20.0,3.0,37.0,86.0,21.0,25.0,12.0,18.0,99.0,9.0,13.0,38.0,0,0,Phoenix,40.0,16.0,32.0,23.0,3.0,45.0,82.0,13.0,18.0,119.0,9.0,5.0,25.0,14.0,LA Lakers,10/29/2014_Phoenix_LA Lakers
21,16.0,32.0,23.0,3.0,45.0,82.0,13.0,18.0,9.0,25.0,119.0,5.0,14.0,40.0,1,1,LA Lakers,38.0,4.0,13.0,20.0,3.0,37.0,86.0,21.0,25.0,99.0,12.0,9.0,18.0,13.0,Phoenix,10/29/2014_Phoenix_LA Lakers
22,2.0,16.0,19.0,5.0,33.0,81.0,21.0,26.0,14.0,28.0,89.0,9.0,13.0,43.0,0,0,Portland,42.0,11.0,29.0,23.0,9.0,39.0,87.0,17.0,22.0,106.0,13.0,4.0,19.0,10.0,Oklahoma City,10/29/2014_Portland_Oklahoma City
23,11.0,29.0,23.0,9.0,39.0,87.0,17.0,22.0,13.0,19.0,106.0,4.0,10.0,42.0,1,1,Oklahoma City,43.0,2.0,16.0,19.0,5.0,33.0,81.0,21.0,26.0,89.0,14.0,9.0,28.0,13.0,Portland,10/29/2014_Portland_Oklahoma City
24,6.0,27.0,21.0,8.0,33.0,75.0,23.0,32.0,7.0,32.0,95.0,12.0,22.0,44.0,0,1,Sacramento,50.0,3.0,18.0,13.0,3.0,24.0,78.0,26.0,35.0,77.0,15.0,11.0,26.0,26.0,Golden State,10/29/2014_Sacramento_Golden State
25,3.0,18.0,13.0,3.0,24.0,78.0,26.0,35.0,15.0,26.0,77.0,11.0,26.0,50.0,1,0,Golden State,44.0,6.0,27.0,21.0,8.0,33.0,75.0,23.0,32.0,95.0,7.0,12.0,32.0,22.0,Sacramento,10/29/2014_Sacramento_Golden State
26,13.0,22.0,26.0,8.0,40.0,80.0,9.0,17.0,10.0,24.0,102.0,6.0,17.0,42.0,0,0,Toronto,48.0,8.0,26.0,26.0,9.0,37.0,90.0,27.0,33.0,109.0,16.0,13.0,22.0,9.0,Atlanta,10/29/2014_Toronto_Atlanta
27,8.0,26.0,26.0,9.0,37.0,90.0,27.0,33.0,16.0,22.0,109.0,13.0,9.0,48.0,1,1,Atlanta,42.0,13.0,22.0,26.0,8.0,40.0,80.0,9.0,17.0,102.0,10.0,6.0,24.0,17.0,Toronto,10/29/2014_Toronto_Atlanta
28,14.0,27.0,18.0,6.0,40.0,77.0,10.0,14.0,8.0,23.0,104.0,7.0,18.0,35.0,0,1,Utah,34.0,3.0,18.0,16.0,6.0,38.0,81.0,14.0,17.0,93.0,13.0,8.0,16.0,13.0,Houston,10/29/2014_Utah_Houston
