,3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,Team,opp_TRB,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,opponent,Game_Id
29,3.0,18.0,16.0,6.0,38.0,81.0,14.0,17.0,13.0,16.0,93.0,8.0,13.0,34.0,1,0,Houston,35.0,14.0,27.0,18.0,6.0,40.0,77.0,10.0,14.0,104.0,8.0,7.0,23.0,18.0,Utah,10/29/2014_Utah_Houston
30,6.0,12.0,30.0,1.0,37.0,69.0,15.0,18.0,9.0,26.0,95.0,9.0,15.0,35.0,0,1,Cleveland,33.0,9.0,24.0,22.0,2.0,32.0,70.0,17.0,20.0,90.0,11.0,5.0,15.0,19.0,New York,10/30/2014_Cleveland_New York
31,9.0,24.0,22.0,2.0,32.0,70.0,17.0,20.0,11.0,15.0,90.0,5.0,19.0,33.0,1,0,New York,35.0,6.0,12.0,30.0,1.0,37.0,69.0,15.0,18.0,95.0,9.0,9.0,26.0,15.0,Cleveland,10/30/2014_Cleveland_New York
32,14.0,35.0,22.0,0.0,36.0,83.0,16.0,18.0,15.0,21.0,102.0,6.0,16.0,40.0,0,0,Dallas,44.0,8.0,21.0,25.0,5.0,47.0,85.0,18.0,23.0,120.0,13.0,8.0,15.0,9.0,Utah,10/30/2014_Dallas_Utah
33,8.0,21.0,25.0,5.0,47.0,85.0,18.0,23.0,13.0,15.0,120.0,8.0,9.0,44.0,1,1,Utah,40.0,14.0,35.0,22.0,0.0,36.0,83.0,16.0,18.0,102.0,15.0,6.0,21.0,16.0,Dallas,10/30/2014_Dallas_Utah
34,6.0,21.0,23.0,2.0,28.0,65.0,28.0,34.0,8.0,27.0,90.0,5.0,22.0,47.0,0,0,LA Clippers,33.0,7.0,30.0,17.0,4.0,34.0,87.0,18.0,25.0,93.0,14.0,10.0,27.0,11.0,Oklahoma City,10/30/2014_LA Clippers_Oklahoma City
35,7.0,30.0,17.0,4.0,34.0,87.0,18.0,25.0,14.0,27.0,93.0,10.0,11.0,33.0,1,1,Oklahoma City,47.0,6.0,21.0,23.0,2.0,28.0,65.0,28.0,34.0,90.0,8.0,5.0,27.0,22.0,LA Clippers,10/30/2014_LA Clippers_Oklahoma City
36,7.0,21.0,20.0,5.0,38.0,91.0,8.0,13.0,14.0,24.0,91.0,3.0,12.0,46.0,0,0,Minnesota,43.0,4.0,10.0,18.0,3.0,37.0,76.0,19.0,28.0,97.0,10.0,8.0,21.0,12.0,Detroit,10/30/2014_Minnesota_Detroit
37,4.0,10.0,18.0,3.0,37.0,76.0,19.0,28.0,10.0,21.0,97.0,8.0,12.0,43.0,1,1,Detroit,46.0,7.0,21.0,20.0,5.0,38.0,91.0,8.0,13.0,91.0,14.0,3.0,24.0,12.0,Minnesota,10/30/2014_Minnesota_Detroit
38,7.0,13.0,22.0,0.0,39.0,80.0,20.0,26.0,6.0,25.0,105.0,10.0,12.0,37.0,0,1,Orlando,33.0,6.0,15.0,20.0,1.0,37.0,72.0,18.0,24.0,98.0,3.0,4.0,23.0,18.0,Washington,10/30/2014_Orlando_Washington
39,6.0,15.0,20.0,1.0,37.0,72.0,18.0,24.0,3.0,23.0,98.0,4.0,18.0,33.0,1,0,Washington,37.0,7.0,13.0,22.0,0.0,39.0,80.0,20.0,26.0,105.0,6.0,10.0,25.0,12.0,Orlando,10/30/2014_Orlando_Washington
40,3.0,15.0,18.0,4.0,41.0,104.0,29.0,33.0,20.0,18.0,114.0,8.0,9.0,52.0,0,1,Chicago,42.0,13.0,31.0,25.0,14.0,41.0,90.0,13.0,17.0,108.0,11.0,4.0,28.0,19.0,Cleveland,10/31/2014_Chicago_Cleveland
41,13.0,31.0,25.0,14.0,41.0,90.0,13.0,17.0,11.0,28.0,108.0,4.0,19.0,42.0,1,0,Cleveland,52.0,3.0,15.0,18.0,4.0,41.0,104.0,29.0,33.0,114.0,20.0,8.0,18.0,9.0,Chicago,10/31/2014_Chicago_Cleveland
42,7.0,19.0,20.0,2.0,35.0,79.0,20.0,27.0,11.0,21.0,97.0,11.0,9.0,40.0,0,1,Indiana,46.0,8.0,21.0,19.0,3.0,34.0,74.0,13.0,16.0,89.0,11.0,5.0,15.0,18.0,Memphis,10/31/2014_Indiana_Memphis
43,8.0,21.0,19.0,3.0,34.0,74.0,13.0,16.0,11.0,15.0,89.0,5.0,18.0,46.0,1,0,Memphis,40.0,7.0,19.0,20.0,2.0,35.0,79.0,20.0,27.0,97.0,11.0,11.0,21.0,9.0,Indiana,10/31/2014_Indiana_Memphis
44,12.0,33.0,25.0,2.0,34.0,71.0,38.0,44.0,6.0,26.0,118.0,6.0,14.0,36.0,0,1,LA Lakers,40.0,7.0,20.0,24.0,2.0,42.0,82.0,20.0,28.0,111.0,9.0,5.0,35.0,14.0,LA Clippers,10/31/2014_LA Lakers_LA Clippers
45,7.0,20.0,24.0,2.0,42.0,82.0,20.0,28.0,9.0,35.0,111.0,5.0,14.0,40.0,1,0,LA Clippers,36.0,12.0,33.0,25.0,2.0,34.0,71.0,38.0,44.0,118.0,6.0,6.0,26.0,14.0,LA Lakers,10/31/2014_LA Lakers_LA Clippers
46,5.0,23.0,20.0,5.0,32.0,86.0,12.0,22.0,12.0,18.0,81.0,9.0,16.0,42.0,0,0,Milwaukee,55.0,9.0,24.0,25.0,11.0,36.0,88.0,12.0,21.0,93.0,15.0,10.0,19.0,18.0,Philadelphia,10/31/2014_Milwaukee_Philadelphia
47,9.0,24.0,25.0,11.0,36.0,88.0,12.0,21.0,15.0,19.0,93.0,10.0,18.0,55.0,1,1,Philadelphia,42.0,5.0,23.0,20.0,5.0,32.0,86.0,12.0,22.0,81.0,12.0,9.0,18.0,16.0,Milwaukee,10/31/2014_Milwaukee_Philadelphia
48,8.0,25.0,20.0,3.0,32.0,78.0,17.0,23.0,5.0,25.0,89.0,3.0,12.0,45.0,0,0,Phoenix,50.0,2.0,18.0,15.0,5.0,35.0,87.0,22.0,26.0,94.0,12.0,2.0,21.0,7.0,San Antonio,10/31/2014_Phoenix_San Antonio
49,2.0,18.0,15.0,5.0,35.0,87.0,22.0,26.0,12.0,21.0,94.0,2.0,7.0,50.0,1,1,San Antonio,45.0,8.0,25.0,20.0,3.0,32.0,78.0,17.0,23.0,89.0,5.0,3.0,25.0,12.0,Phoenix,10/31/2014_Phoenix_San Antonio
50,9.0,26.0,20.0,8.0,34.0,83.0,17.0,19.0,10.0,26.0,94.0,5.0,10.0,38.0,0,0,Sacramento,49.0,4.0,10.0,14.0,2.0,34.0,81.0,31.0,35.0,103.0,14.0,6.0,24.0,10.0,Portland,10/31/2014_Sacramento_Portland
51,4.0,10.0,14.0,2.0,34.0,81.0,31.0,35.0,14.0,24.0,103.0,6.0,10.0,49.0,1,1,Portland,38.0,9.0,26.0,20.0,8.0,34.0,83.0,17.0,19.0,94.0,10.0,5.0,26.0,10.0,Sacramento,10/31/2014_Sacramento_Portland
52,12.0,32.0,25.0,5.0,31.0,81.0,18.0,21.0,11.0,26.0,92.0,5.0,18.0,44.0,0,0,Atlanta,37.0,7.0,20.0,26.0,6.0,35.0,69.0,25.0,33.0,102.0,3.0,10.0,20.0,12.0,Indiana,11/1/2014_Atlanta_Indiana
53,7.0,20.0,26.0,6.0,35.0,69.0,25.0,33.0,3.0,20.0,102.0,10.0,12.0,37.0,1,1,Indiana,44.0,12.0,32.0,25.0,5.0,31.0,81.0,18.0,21.0,92.0,11.0,5.0,26.0,18.0,Atlanta,11/1/2014_Atlanta_Indiana
54,3.0,11.0,16.0,0.0,29.0,80.0,10.0,13.0,9.0,22.0,71.0,8.0,18.0,45.0,0,1,Charlotte,44.0,4.0,14.0,17.0,4.0,26.0,72.0,13.0,18.0,69.0,5.0,10.0,16.0,20.0,Memphis,11/1/2014_Charlotte_Memphis
55,4.0,14.0,17.0,4.0,26.0,72.0,13.0,18.0,5.0,16.0,69.0,10.0,20.0,44.0,1,0,Memphis,45.0,3.0,11.0,16.0,0.0,29.0,80.0,10.0,13.0,71.0,9.0,8.0,22.0,18.0,Charlotte,11/1/2014_Charlotte_Memphis
56,7.0,26.0,18.0,3.0,42.0,87.0,11.0,13.0,12.0,23.0,102.0,3.0,8.0,48.0,0,1,Detroit,41.0,1.0,17.0,21.0,3.0,32.0,76.0,25.0,35.0,90.0,10.0,3.0,15.0,7.0,Brooklyn,11/1/2014_Detroit_Brooklyn
57,1.0,17.0,21.0,3.0,32.0,76.0,25.0,35.0,10.0,15.0,90.0,3.0,7.0,41.0,1,0,Brooklyn,48.0,7.0,26.0,18.0,3.0,42.0,87.0,11.0,13.0,102.0,12.0,3.0,23.0,8.0,Detroit,11/1/2014_Detroit_Brooklyn
58,4.0,14.0,21.0,3.0,41.0,88.0,18.0,25.0,17.0,27.0,104.0,9.0,22.0,37.0,0,0,Golden State,43.0,11.0,23.0,30.0,4.0,46.0,83.0,24.0,28.0,127.0,12.0,10.0,26.0,20.0,LA Lakers,11/1/2014_Golden State_LA Lakers
59,11.0,23.0,30.0,4.0,46.0,83.0,24.0,28.0,12.0,26.0,127.0,10.0,20.0,43.0,1,1,LA Lakers,37.0,4.0,14.0,21.0,3.0,41.0,88.0,18.0,25.0,104.0,17.0,9.0,27.0,22.0,Golden State,11/1/2014_Golden State_LA Lakers
60,1.0,25.0,20.0,8.0,37.0,98.0,15.0,18.0,14.0,26.0,90.0,10.0,10.0,44.0,0,0,Houston,49.0,12.0,34.0,20.0,8.0,32.0,76.0,28.0,40.0,104.0,10.0,9.0,24.0,17.0,Boston,11/1/2014_Houston_Boston
61,12.0,34.0,20.0,8.0,32.0,76.0,28.0,40.0,10.0,24.0,104.0,9.0,17.0,49.0,1,1,Boston,44.0,1.0,25.0,20.0,8.0,37.0,98.0,15.0,18.0,90.0,14.0,10.0,26.0,10.0,Houston,11/1/2014_Houston_Boston
62,9.0,23.0,15.0,8.0,33.0,69.0,31.0,40.0,5.0,24.0,106.0,3.0,14.0,38.0,0,1,Minnesota,42.0,4.0,12.0,26.0,4.0,38.0,85.0,25.0,31.0,105.0,13.0,9.0,29.0,10.0,Chicago,11/1/2014_Minnesota_Chicago
63,4.0,12.0,26.0,4.0,38.0,85.0,25.0,31.0,13.0,29.0,105.0,9.0,10.0,42.0,1,0,Chicago,38.0,9.0,23.0,15.0,8.0,33.0,69.0,31.0,40.0,106.0,5.0,3.0,24.0,14.0,Minnesota,11/1/2014_Minnesota_Chicago
64,6.0,25.0,25.0,6.0,46.0,89.0,11.0,19.0,11.0,25.0,109.0,4.0,12.0,44.0,0,1,New Orleans,47.0,7.0,19.0,24.0,4.0,38.0,89.0,21.0,28.0,104.0,14.0,8.0,19.0,13.0,Dallas,11/1/2014_New Orleans_Dallas
65,7.0,19.0,24.0,4.0,38.0,89.0,21.0,28.0,14.0,19.0,104.0,8.0,13.0,47.0,1,0,Dallas,44.0,6.0,25.0,25.0,6.0,46.0,89.0,11.0,19.0,109.0,11.0,4.0,25.0,12.0,New Orleans,11/1/2014_New Orleans_Dallas
66,7.0,26.0,19.0,10.0,35.0,80.0,14.0,20.0,11.0,26.0,91.0,4.0,17.0,41.0,0,0,Oklahoma City,41.0,6.0,20.0,24.0,6.0,37.0,80.0,22.0,31.0,102.0,6.0,8.0,20.0,13.0,Denver,11/1/2014_Oklahoma City_Denver
67,6.0,20.0,24.0,6.0,37.0,80.0,22.0,31.0,6.0,20.0,102.0,8.0,13.0,41.0,1,1,Denver,41.0,7.0,26.0,19.0,10.0,35.0,80.0,14.0,20.0,91.0,11.0,4.0,26.0,17.0,Oklahoma City,11/1/2014_Oklahoma City_Denver
68,4.0,21.0,13.0,4.0,33.0,83.0,38.0,48.0,15.0,21.0,108.0,4.0,7.0,50.0,0,1,Orlando,40.0,7.0,20.0,25.0,7.0,38.0,81.0,12.0,24.0,95.0,9.0,3.0,37.0,14.0,Toronto,11/1/2014_Orlando_Toronto
69,7.0,20.0,25.0,7.0,38.0,81.0,12.0,24.0,9.0,37.0,95.0,3.0,14.0,40.0,1,0,Toronto,50.0,4.0,21.0,13.0,4.0,33.0,83.0,38.0,48.0,108.0,15.0,4.0,21.0,7.0,Orlando,11/1/2014_Orlando_Toronto
70,12.0,24.0,33.0,0.0,41.0,83.0,20.0,29.0,9.0,20.0,114.0,16.0,16.0,35.0,0,1,Philadelphia,37.0,7.0,23.0,28.0,10.0,35.0,67.0,19.0,26.0,96.0,4.0,9.0,21.0,24.0,Miami,11/1/2014_Philadelphia_Miami
71,7.0,23.0,28.0,10.0,35.0,67.0,19.0,26.0,4.0,21.0,96.0,9.0,24.0,37.0,1,0,Miami,35.0,12.0,24.0,33.0,0.0,41.0,83.0,20.0,29.0,114.0,9.0,16.0,20.0,16.0,Philadelphia,11/1/2014_Philadelphia_Miami
72,7.0,31.0,17.0,7.0,36.0,87.0,12.0,15.0,6.0,22.0,91.0,8.0,11.0,34.0,0,0,Utah,52.0,7.0,26.0,19.0,6.0,42.0,88.0,27.0,33.0,118.0,13.0,10.0,15.0,13.0,Phoenix,11/1/2014_Utah_Phoenix
73,7.0,26.0,19.0,6.0,42.0,88.0,27.0,33.0,13.0,15.0,118.0,10.0,13.0,52.0,1,1,Phoenix,34.0,7.0,31.0,17.0,7.0,36.0,87.0,12.0,15.0,91.0,6.0,8.0,22.0,11.0,Utah,11/1/2014_Utah_Phoenix
74,9.0,22.0,18.0,3.0,34.0,80.0,20.0,24.0,16.0,28.0,97.0,11.0,27.0,42.0,0,0,Washington,34.0,4.0,13.0,28.0,5.0,40.0,73.0,24.0,33.0,108.0,6.0,18.0,21.0,19.0,Milwaukee,11/1/2014_Washington_Milwaukee
75,4.0,13.0,28.0,5.0,40.0,73.0,24.0,33.0,6.0,21.0,108.0,18.0,19.0,34.0,1,1,Milwaukee,42.0,9.0,22.0,18.0,3.0,34.0,80.0,20.0,24.0,97.0,16.0,11.0,28.0,27.0,Washington,11/1/2014_Washington_Milwaukee
76,3.0,10.0,21.0,11.0,34.0,68.0,27.0,33.0,9.0,22.0,98.0,4.0,19.0,46.0,0,1,LA Clippers,35.0,9.0,31.0,23.0,7.0,33.0,88.0,17.0,21.0,92.0,11.0,10.0,25.0,8.0,Sacramento,11/2/2014_LA Clippers_Sacramento
77,9.0,31.0,23.0,7.0,33.0,88.0,17.0,21.0,11.0,25.0,92.0,10.0,8.0,35.0,1,0,Sacramento,46.0,3.0,10.0,21.0,11.0,34.0,68.0,27.0,33.0,98.0,9.0,4.0,22.0,19.0,LA Clippers,11/2/2014_LA Clippers_Sacramento
78,4.0,16.0,11.0,5.0,37.0,79.0,24.0,39.0,9.0,28.0,102.0,8.0,10.0,28.0,0,0,Miami,43.0,9.0,24.0,22.0,6.0,35.0,70.0,28.0,38.0,107.0,11.0,6.0,29.0,16.0,Toronto,11/2/2014_Miami_Toronto
79,9.0,24.0,22.0,6.0,35.0,70.0,28.0,38.0,11.0,29.0,107.0,6.0,16.0,43.0,1,1,Toronto,28.0,4.0,16.0,11.0,5.0,37.0,79.0,24.0,39.0,102.0,9.0,8.0,28.0,10.0,Miami,11/2/2014_Miami_Toronto
80,6.0,15.0,20.0,2.0,33.0,70.0,21.0,29.0,8.0,16.0,93.0,7.0,12.0,38.0,0,0,New York,35.0,8.0,16.0,23.0,0.0,39.0,78.0,10.0,17.0,96.0,8.0,5.0,26.0,12.0,Charlotte,11/2/2014_New York_Charlotte
81,8.0,16.0,23.0,0.0,39.0,78.0,10.0,17.0,8.0,26.0,96.0,5.0,12.0,35.0,1,1,Charlotte,38.0,6.0,15.0,20.0,2.0,33.0,70.0,21.0,29.0,93.0,8.0,7.0,16.0,12.0,New York,11/2/2014_New York_Charlotte
82,6.0,19.0,22.0,7.0,36.0,81.0,17.0,21.0,7.0,16.0,95.0,11.0,17.0,41.0,0,1,Portland,56.0,7.0,27.0,20.0,2.0,37.0,92.0,9.0,14.0,90.0,17.0,9.0,19.0,19.0,Golden State,11/2/2014_Portland_Golden State
83,7.0,27.0,20.0,2.0,37.0,92.0,9.0,14.0,17.0,19.0,90.0,9.0,19.0,56.0,1,0,Golden State,41.0,6.0,19.0,22.0,7.0,36.0,81.0,17.0,21.0,95.0,7.0,11.0,16.0,17.0,Portland,11/2/2014_Portland_Golden State
84,8.0,23.0,14.0,3.0,32.0,82.0,13.0,21.0,15.0,17.0,85.0,3.0,17.0,44.0,0,0,Brooklyn,42.0,11.0,23.0,25.0,3.0,44.0,84.0,17.0,19.0,116.0,9.0,11.0,21.0,8.0,Oklahoma City,11/3/2014_Brooklyn_Oklahoma City
85,11.0,23.0,25.0,3.0,44.0,84.0,17.0,19.0,9.0,21.0,116.0,11.0,8.0,42.0,1,1,Oklahoma City,44.0,8.0,23.0,14.0,3.0,32.0,82.0,13.0,21.0,85.0,15.0,3.0,17.0,17.0,Brooklyn,11/3/2014_Brooklyn_Oklahoma City
86,11.0,31.0,29.0,6.0,45.0,102.0,12.0,16.0,22.0,21.0,113.0,9.0,17.0,49.0,0,0,Dallas,36.0,14.0,25.0,24.0,9.0,44.0,82.0,16.0,20.0,118.0,7.0,5.0,17.0,17.0,Boston,11/3/2014_Dallas_Boston
87,14.0,25.0,24.0,9.0,44.0,82.0,16.0,20.0,7.0,17.0,118.0,5.0,17.0,36.0,1,1,Boston,49.0,11.0,31.0,29.0,6.0,45.0,102.0,12.0,16.0,113.0,22.0,9.0,21.0,17.0,Dallas,11/3/2014_Dallas_Boston
88,2.0,9.0,21.0,5.0,34.0,81.0,40.0,47.0,14.0,28.0,110.0,8.0,15.0,50.0,0,1,Denver,42.0,5.0,24.0,22.0,7.0,36.0,93.0,28.0,33.0,105.0,15.0,4.0,35.0,15.0,Sacramento,11/3/2014_Denver_Sacramento
89,5.0,24.0,22.0,7.0,36.0,93.0,28.0,33.0,15.0,35.0,105.0,4.0,15.0,42.0,1,0,Sacramento,50.0,2.0,9.0,21.0,5.0,34.0,81.0,40.0,47.0,110.0,14.0,8.0,28.0,15.0,Denver,11/3/2014_Denver_Sacramento
90,10.0,27.0,24.0,2.0,36.0,77.0,19.0,24.0,9.0,20.0,101.0,4.0,17.0,43.0,0,0,LA Clippers,35.0,10.0,23.0,28.0,6.0,41.0,81.0,15.0,17.0,107.0,5.0,6.0,17.0,10.0,Utah,11/3/2014_LA Clippers_Utah
91,10.0,23.0,28.0,6.0,41.0,81.0,15.0,17.0,5.0,17.0,107.0,6.0,10.0,35.0,1,1,Utah,43.0,10.0,27.0,24.0,2.0,36.0,77.0,19.0,24.0,101.0,9.0,4.0,20.0,17.0,LA Clippers,11/3/2014_LA Clippers_Utah
92,4.0,24.0,14.0,3.0,29.0,86.0,19.0,29.0,14.0,30.0,81.0,5.0,12.0,49.0,0,0,Memphis,52.0,4.0,14.0,19.0,6.0,31.0,76.0,27.0,37.0,93.0,9.0,5.0,24.0,11.0,New Orleans,11/3/2014_Memphis_New Orleans
