,Unnamed: 0,3P_x,3PA_x,AST_x,BLK_x,FG_x,FGA_x,FT_x,FTA_x,ORB_x,DRB_x,PF_x,PTS_x,STL_x,TOV_x,TRB_x,Team_Win_x,opp_TRB_x,opp_3P_x,opp_3PA_x,opp_AST_x,opp_BLK_x,opp_FG_x,opp_FGA_x,opp_FT_x,opp_FTA_x,opp_PTS_x,opp_ORB_x,opp_DRB_x,opp_STL_x,opp_PF_x,opp_TOV_x,Team_x,Game_Id,Date_x,Days_Since_x,team_location_x,distance_From_Home_x,team_time_zone_x,time_zone_diff_x,last_loc_x,distance_From_Last_Game_x,last_time_zone_x,time_zone_change_x,game_number_x,played_yesterday_x,played_diff_loc_yesterday_x,back_to_back_road_games_x,first_x,eFG%_x,TOV%_x,opp_eFG%_x,opp_TOV%_x,ORB%_x,opp_ORB%_x,FT_factor_x,opp_FT_factor_x,DRB%_x,opp_DRB%_x,3P_y,3PA_y,AST_y,BLK_y,FG_y,FGA_y,FT_y,FTA_y,ORB_y,DRB_y,PF_y,PTS_y,STL_y,TOV_y,TRB_y,Team_Win_y,opp_TRB_y,opp_3P_y,opp_3PA_y,opp_AST_y,opp_BLK_y,opp_FG_y,opp_FGA_y,opp_FT_y,opp_FTA_y,opp_PTS_y,opp_ORB_y,opp_DRB_y,opp_STL_y,opp_PF_y,opp_TOV_y,total_PTS,is_Home_y,Team_y,Date_y,Days_Since_y,game_Location,team_location_y,distance_From_Home_y,game_time_zone,team_time_zone_y,game_hour (et),time_zone_diff_y,last_loc_y,distance_From_Last_Game_y,last_time_zone_y,time_zone_change_y,game_number_y,result,played_yesterday_y,played_diff_loc_yesterday_y,back_to_back_road_games_y,first_y,eFG%_y,TOV%_y,opp_eFG%_y,opp_TOV%_y,ORB%_y,opp_ORB%_y,FT_factor_y,opp_FT_factor_y,DRB%_y,opp_DRB%_y,Home Opener,Home Closing Line,Visitor Juice,Home Juice,Opening Total,Closing Total,Over Juice,Under Juice,Visitor ML Open,Visitor ML,Home ML Open,Home ML
19,19,5.34782608696,14.7826086957,22.2608695652,6.17391304348,37.5217391304,81.8260869565,16.4782608696,22.4347826087,13.3913043478,31.8695652174,17.3913043478,96.8695652174,7.30434782609,13.652173913,45.2608695652,1,39.7826086957,4.69565217391,13.2608695652,19.0434782609,4.78260869565,34.4782608696,81.0,13.7826086957,19.2173913043,87.4347826087,11.3043478261,28.4782608696,7.17391304348,18.1304347826,13.8260869565,Chicago,1/30/2012_Washington_Chicago,2012-01-30,2.0,Washington DC,0.0,2,1,Miami,,3.0,0.0,23,True,True,False,0,0.491232731137,0.129589276281,0.454643048846,0.133867681479,0.319833852544,0.261832829809,0.201381509033,0.170155662909,0.738167170191,0.680166147456,3.85714285714,13.3333333333,17.5238095238,7.90476190476,34.8571428571,83.2380952381,15.2380952381,20.9523809524,11.619047619,30.0952380952,21.1428571429,88.8095238095,8.7619047619,15.1904761905,41.7142857143,0,45.380952381,6.33333333333,17.5714285714,22.7142857143,5.19047619048,37.0476190476,81.2380952381,17.8095238095,24.5238095238,98.2380952381,12.4761904762,32.9047619048,7.80952380952,18.2857142857,15.5238095238,187.047619048,1,Washington,2012-01-30,1.0,Washington DC,Washington DC,0.0,3,3,19,0,Charlotte,,3.0,0.0,21,-10,False,False,False,1,0.441933638444,0.141112978855,0.495017584994,0.144337200035,0.260962566845,0.293064876957,0.183066361556,0.219226260258,0.706935123043,0.739037433155,9.0,9.0,-101.0,-109.0,190.5,189.5,-103.0,-107.0,-450.0,-490.0,385.0,416.0
20,20,5.41666666667,14.875,22.25,6.125,37.2916666667,81.5,16.25,22.1666666667,13.1666666667,31.75,17.2916666667,96.25,7.20833333333,13.7916666667,44.9166666667,0,39.9166666667,4.66666666667,13.1666666667,19.3333333333,4.75,34.7083333333,81.125,13.7916666667,19.2083333333,87.875,11.2916666667,28.625,7.29166666667,17.9583333333,13.6666666667,Chicago,2/1/2012_Philadelphia_Chicago,2012-02-01,2.0,Philadelphia,0.0,2,1,Washington DC,,3.0,0.0,24,False,False,False,0,0.490797546012,0.131292937947,0.456599897278,0.13237335744,0.315054835494,0.262342691191,0.199386503067,0.170005136107,0.737657308809,0.684945164506,6.22727272727,16.2727272727,22.4090909091,4.81818181818,38.5,82.7727272727,14.2727272727,19.7272727273,9.5,34.2272727273,17.4090909091,97.5,9.13636363636,10.8636363636,43.7272727273,1,43.6818181818,4.59090909091,15.5454545455,18.1818181818,4.59090909091,33.7272727273,81.3181818182,13.8636363636,19.3636363636,85.9090909091,11.3181818182,32.3636363636,5.95454545455,17.4090909091,14.4090909091,183.409090909,1,Philadelphia,2012-02-01,2.0,Philadelphia,Philadelphia,0.0,3,3,19,0,Philadelphia,0.0,3.0,0.0,22,16,False,False,False,1,0.502745744097,0.10617692007,0.44298490777,0.138220315334,0.226927252986,0.248502994012,0.17243272927,0.170486305198,0.751497005988,0.773072747014,1.5,2.0,-104.0,-106.0,181.5,178.0,-104.0,-106.0,-123.0,-123.0,111.0,111.0
21,21,5.44,14.76,22.24,6.24,37.36,81.2,16.44,22.44,13.0,31.6,17.2,96.6,7.32,13.8,44.6,1,39.8,4.64,13.28,19.36,4.64,35.08,81.48,13.64,19.0,88.44,11.36,28.44,7.28,18.16,13.68,Chicago,2/2/2012_New York_Chicago,2012-02-02,2.0,New York,0.0,2,1,Philadelphia,,3.0,0.0,25,True,True,False,0,0.493596059113,0.131586977085,0.459008345606,0.132148377125,0.313706563707,0.264432029795,0.202463054187,0.167403043692,0.735567970205,0.686293436293,7.22727272727,23.1818181818,18.9090909091,4.22727272727,34.2272727273,80.5909090909,19.2727272727,24.7272727273,10.8636363636,30.8181818182,22.4090909091,94.9545454545,9.5,16.0454545455,41.6818181818,0,42.5909090909,6.36363636364,16.2727272727,19.8636363636,5.18181818182,35.5454545455,78.5909090909,18.1363636364,25.0454545455,95.5909090909,9.77272727273,32.8181818182,8.36363636364,21.6363636364,16.4545454545,190.545454545,1,New York,2012-02-02,1.0,New York,New York,0.0,3,3,19,0,New York,0.0,3.0,0.0,22,-3,False,False,False,1,0.469543147208,0.149237325397,0.492770387507,0.155135765222,0.248699271592,0.240761478163,0.239142695995,0.230769230769,0.759238521837,0.751300728408,3.5,3.5,-105.0,-105.0,190.0,189.0,100.0,-110.0,-166.0,-163.0,150.0,147.0
22,22,5.76923076923,15.3461538462,22.5769230769,6.15384615385,37.7692307692,81.5384615385,15.9230769231,21.7307692308,12.9230769231,32.0,17.3076923077,97.2307692308,7.26923076923,13.7692307692,44.9230769231,1,39.7692307692,4.5,13.2307692308,19.1923076923,4.65384615385,35.1538461538,81.9230769231,13.6923076923,19.0,88.5,11.4230769231,28.3461538462,7.23076923077,17.7692307692,13.4615384615,Chicago,2/4/2012_Milwaukee_Chicago,2012-02-04,1.0,Milwaukee,0.0,2,0,New York,,3.0,-1.0,26,False,False,False,0,0.49858490566,0.131299053767,0.456572769953,0.129756502654,0.313140726934,0.26306465899,0.195283018868,0.167136150235,0.73693534101,0.686859273066,6.34782608696,20.0,21.2173913043,4.65217391304,35.9565217391,83.6956521739,15.652173913,20.0434782609,11.7391304348,29.0,20.0434782609,93.9130434783,8.08695652174,14.1739130435,40.7391304348,0,44.5217391304,6.13043478261,18.2173913043,21.0869565217,5.13043478261,35.2608695652,79.347826087,18.5217391304,24.3913043478,95.1739130435,11.7826086957,32.7391304348,7.95652173913,19.3043478261,16.0,189.086956522,1,Milwaukee,2012-02-04,2.0,Milwaukee,Milwaukee,0.0,2,2,20,0,Detroit,,3.0,-1.0,23,-23,True,True,False,1,0.467532467532,0.13285299775,0.48301369863,0.150829562594,0.263929618768,0.288912579957,0.187012987013,0.233424657534,0.711087420043,0.736070381232,4.5,5.0,-105.0,-105.0,191.0,186.5,-101.0,-109.0,-195.0,-194.0,175.0,174.0
23,23,5.82142857143,15.3571428571,23.0357142857,5.82142857143,37.8928571429,81.3214285714,15.75,21.4285714286,12.75,32.1071428571,17.3928571429,97.3571428571,7.46428571429,13.6785714286,44.8571428571,1,39.6428571429,4.32142857143,13.0,19.1785714286,4.5,34.7857142857,81.5714285714,13.7857142857,19.1785714286,87.6785714286,11.4642857143,28.1785714286,7.03571428571,17.6428571429,13.5357142857,Chicago,2/8/2012_New Orleans_Chicago,2012-02-08,2.0,New Orleans,0.0,2,0,Newark,,3.0,-1.0,28,False,False,False,0,0.501756697409,0.13098495212,0.452933450088,0.130722110317,0.311518324607,0.263114754098,0.193675889328,0.169001751313,0.736885245902,0.688481675393,3.57692307692,12.0,19.3461538462,4.96153846154,34.3461538462,78.0,14.8846153846,20.0384615385,11.3846153846,30.0384615385,20.3846153846,87.1538461538,7.19230769231,14.4615384615,41.4230769231,0,39.7307692308,6.15384615385,19.0769230769,20.1538461538,5.34615384615,34.6153846154,76.6538461538,17.9230769231,23.1153846154,93.3076923077,9.69230769231,30.0384615385,7.57692307692,18.0,13.0769230769,180.461538462,1,New Orleans,2012-02-08,2.0,New Orleans,New Orleans,0.0,2,2,21,0,New Orleans,0.0,2.0,0.0,26,-23,False,False,False,1,0.463264299803,0.142789871033,0.491721023583,0.130898115067,0.274837511606,0.243949661181,0.190828402367,0.233818364275,0.756050338819,0.725162488394,9.0,10.0,102.0,-113.0,182.0,181.0,-110.0,100.0,-450.0,-550.0,385.0,461.0
24,24,5.8275862069,15.3448275862,23.0,5.75862068966,37.9310344828,81.6206896552,15.5862068966,21.3793103448,12.9310344828,32.2068965517,17.3103448276,97.275862069,7.55172413793,13.5517241379,45.1379310345,1,39.7931034483,4.20689655172,12.8275862069,19.1034482759,4.51724137931,34.4482758621,81.3793103448,13.7586206897,19.1724137931,86.8620689655,11.4137931034,28.3793103448,6.96551724138,17.6551724138,13.6206896552,Chicago,2/10/2012_Charlotte_Chicago,2012-02-10,3.0,Charlotte,0.0,2,1,New Orleans,,2.0,1.0,29,False,False,False,0,0.500422475708,0.129583223424,0.449152542373,0.131682468563,0.313021702838,0.261660079051,0.190959019856,0.16906779661,0.738339920949,0.686978297162,4.11538461538,13.6923076923,19.2692307692,5.61538461538,33.8461538462,81.2307692308,14.5,19.7692307692,10.4615384615,30.0,19.1923076923,86.3076923077,5.88461538462,14.3076923077,40.4615384615,0,44.8076923077,6.46153846154,17.7307692308,23.1153846154,5.84615384615,38.7692307692,82.5769230769,16.5384615385,22.3076923077,100.538461538,11.3846153846,33.4230769231,7.80769230769,18.8076923077,13.1153846154,186.846153846,1,Charlotte,2012-02-10,2.0,Charlotte,Charlotte,0.0,3,3,20,0,Boston,,3.0,0.0,26,-31,False,False,False,1,0.441998106061,0.137261268707,0.508616674429,0.124307378244,0.238387379492,0.275092936803,0.178503787879,0.200279459711,0.724907063197,0.761612620508,13.0,12.5,-109.0,-101.0,183.0,180.5,-107.0,-103.0,-1700.0,-1600.0,1125.0,1075.0
25,25,5.83333333333,15.5,22.9,5.63333333333,37.8,81.8333333333,15.6333333333,21.4666666667,13.0,32.0333333333,17.3333333333,97.0666666667,7.6,13.5333333333,45.0333333333,0,39.9333333333,4.16666666667,12.8333333333,19.2666666667,4.66666666667,34.5333333333,81.1666666667,13.9,19.4,87.1333333333,11.3,28.6333333333,7.03333333333,17.8333333333,13.7666666667,Chicago,2/12/2012_Boston_Chicago,2012-02-12,2.0,Boston,0.0,2,1,Charlotte,,3.0,0.0,30,False,False,False,0,0.497556008147,0.129120075309,0.45112936345,0.13305069457,0.31224979984,0.260769230769,0.191038696538,0.171252566735,0.739230769231,0.68775020016,6.03703703704,15.2962962963,22.5185185185,5.37037037037,34.5185185185,75.2222222222,15.1111111111,19.7777777778,8.77777777778,30.2962962963,20.2222222222,90.1851851852,6.40740740741,14.8148148148,39.0740740741,1,41.0740740741,4.44444444444,15.8148148148,16.7407407407,5.25925925926,32.5185185185,78.1111111111,17.2592592593,22.2222222222,86.7407407407,11.2962962963,29.7777777778,8.18518518519,19.037037037,13.8148148148,176.925925926,1,Boston,2012-02-12,2.0,Boston,Boston,0.0,3,3,20,0,Toronto,,3.0,0.0,27,4,False,False,False,1,0.499015263417,0.150039760537,0.444760550024,0.135833940277,0.227665706052,0.271593944791,0.200886262925,0.220957799905,0.728406055209,0.772334293948,3.5,1.0,-103.0,-107.0,176.0,171.5,-113.0,102.0,-145.0,-108.0,131.0,-102.0
26,26,5.93548387097,15.6129032258,23.2258064516,5.70967741935,38.0,81.9032258065,15.9032258065,21.6129032258,12.8709677419,32.0,17.4838709677,97.8387096774,7.54838709677,13.5161290323,44.8709677419,1,40.1290322581,4.32258064516,12.9677419355,19.3225806452,4.64516129032,34.7741935484,81.4193548387,14.1612903226,19.6774193548,88.0322580645,11.4838709677,28.6451612903,7.03225806452,17.935483871,13.7741935484,Chicago,2/14/2012_Chicago_Sacramento,2012-02-14,3.0,Chicago,0.0,2,0,Boston,,3.0,-1.0,31,False,False,False,0,0.500196927924,0.128812100344,0.453645007924,0.132633409952,0.310023310023,0.26409495549,0.194170933438,0.173930269414,0.73590504451,0.689976689977,6.25,20.1785714286,16.6785714286,4.07142857143,34.0357142857,83.75,18.5357142857,25.1071428571,14.1785714286,29.6428571429,19.5357142857,92.8571428571,8.17857142857,14.7142857143,43.8214285714,0,45.3571428571,6.03571428571,18.25,23.25,6.53571428571,39.4285714286,84.0,16.3571428571,21.8214285714,101.25,12.7142857143,32.6428571429,8.5,21.25,14.6785714286,194.107142857,0,Sacramento,2012-02-14,2.0,Chicago,Chicago,0.0,2,0,22,2,Sacramento,,0.0,2.0,28,-6,False,False,False,1,0.443710021322,0.13436301495,0.50531462585,0.135561243337,0.302822273074,0.300168634064,0.22132196162,0.194727891156,0.699831365936,0.697177726926,-12.5,-11.0,-104.0,-106.0,187.5,186.0,-102.0,-108.0,925.0,760.0,-1350.0,-1000.0
27,27,6.0625,15.78125,23.34375,5.6875,37.75,81.71875,16.0,21.8125,12.96875,32.125,17.5625,97.5625,7.4375,13.59375,45.09375,1,40.03125,4.28125,13.03125,19.1875,4.71875,34.65625,81.3125,14.1875,19.625,87.78125,11.3125,28.71875,7.0625,18.03125,13.5625,Chicago,2/16/2012_Chicago_Boston,2012-02-16,1.0,Chicago,0.0,2,0,Chicago,0.0,2.0,0.0,32,False,False,False,0,0.499043977055,0.1295753503,0.452536510377,0.131025987827,0.311094452774,0.260431654676,0.195793499044,0.174481168332,0.739568345324,0.688905547226,5.75862068966,14.9655172414,22.0344827586,5.48275862069,34.3793103448,75.3793103448,15.2413793103,20.1379310345,8.65517241379,30.1379310345,20.2413793103,89.7586206897,6.48275862069,14.275862069,38.7931034483,0,41.5517241379,4.62068965517,15.8620689655,17.0689655172,5.13793103448,32.5172413793,77.8965517241,17.5517241379,22.6551724138,87.2068965517,11.4482758621,30.1034482759,7.93103448276,19.2068965517,13.7931034483,176.965517241,0,Boston,2012-02-16,2.0,Chicago,Chicago,0.0,2,3,20,-1,Boston,,3.0,-1.0,29,-9,True,True,False,1,0.49428179323,0.144909274194,0.447100486941,0.135681528317,0.223309608541,0.275290215589,0.2021957914,0.225320938468,0.724709784411,0.776690391459,-8.0,-7.5,-102.0,-108.0,178.0,179.0,-101.0,-109.0,305.0,292.0,-350.0,-333.0
28,28,6.02941176471,15.8235294118,23.0,5.64705882353,37.5,81.9705882353,15.9411764706,21.8823529412,13.1764705882,32.2352941176,17.6764705882,96.9705882353,7.38235294118,13.5,45.4117647059,1,40.3529411765,4.58823529412,13.6470588235,19.1764705882,4.91176470588,34.5,81.2058823529,14.2058823529,19.8235294118,87.7941176471,11.3529411765,29.0,7.11764705882,17.9705882353,13.4411764706,Chicago,2/20/2012_Chicago_Atlanta,2012-02-20,2.0,Chicago,0.0,2,0,Chicago,0.0,2.0,0.0,34,False,False,False,0,0.494259059921,0.128450533951,0.453096704093,0.130030501684,0.312412831241,0.260458839406,0.194474345174,0.174936617168,0.739541160594,0.687587168759,7.1875,18.84375,22.0625,5.1875,35.8125,80.65625,15.21875,21.0,10.0,31.34375,17.5,94.03125,8.0625,12.96875,41.34375,0,42.84375,6.15625,17.3125,21.1875,4.90625,35.65625,81.5625,14.375,19.0,91.84375,10.84375,32.0,7.0625,18.71875,14.34375,185.875,0,Atlanta,2012-02-20,2.0,Chicago,Chicago,0.0,2,3,20,-1,Portland,,0.0,2.0,32,-11,False,False,False,1,0.488570321581,0.126075438682,0.474904214559,0.137568484529,0.238095238095,0.257037037037,0.188686555599,0.176245210728,0.742962962963,0.761904761905,-10.0,-10.5,102.0,-113.0,182.5,180.5,100.0,-110.0,516.0,577.0,-625.0,-711.0
