3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,opponent,opp_TRB,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,Team,Game_Id
8.0,32.0,26.0,10.0,32.0,90.0,12.0,20.0,18.0,19.0,84.0,11.0,12.0,39.0,0,0,Cleveland,54.0,7.0,20.0,22.0,5.0,36.0,79.0,15.0,22.0,94.0,18.0,7.0,21.0,20.0,Washington,10/30/2012_Cleveland_Washington
7.0,20.0,22.0,5.0,36.0,79.0,15.0,22.0,18.0,21.0,94.0,7.0,20.0,54.0,1,1,Washington,39.0,8.0,32.0,26.0,10.0,32.0,90.0,12.0,20.0,84.0,18.0,11.0,19.0,12.0,Cleveland,10/30/2012_Cleveland_Washington
5.0,15.0,22.0,5.0,40.0,85.0,14.0,18.0,9.0,25.0,99.0,9.0,11.0,40.0,0,1,LA Lakers,46.0,3.0,13.0,24.0,5.0,38.0,77.0,12.0,31.0,91.0,15.0,6.0,21.0,14.0,Dallas,10/30/2012_LA Lakers_Dallas
3.0,13.0,24.0,5.0,38.0,77.0,12.0,31.0,15.0,21.0,91.0,6.0,14.0,46.0,1,0,Dallas,40.0,5.0,15.0,22.0,5.0,40.0,85.0,14.0,18.0,99.0,9.0,9.0,25.0,11.0,LA Lakers,10/30/2012_LA Lakers_Dallas
6.0,13.0,24.0,2.0,39.0,75.0,23.0,28.0,7.0,23.0,107.0,4.0,15.0,41.0,0,0,Miami,36.0,8.0,16.0,25.0,5.0,43.0,79.0,26.0,32.0,120.0,5.0,8.0,20.0,8.0,Boston,10/30/2012_Miami_Boston
8.0,16.0,25.0,5.0,43.0,79.0,26.0,32.0,5.0,20.0,120.0,8.0,8.0,36.0,1,1,Boston,41.0,6.0,13.0,24.0,2.0,39.0,75.0,23.0,28.0,107.0,7.0,4.0,23.0,15.0,Miami,10/30/2012_Miami_Boston
6.0,17.0,14.0,5.0,34.0,84.0,13.0,16.0,11.0,29.0,87.0,10.0,19.0,40.0,0,0,Chicago,46.0,2.0,9.0,21.0,10.0,33.0,79.0,25.0,33.0,93.0,14.0,8.0,19.0,18.0,Sacramento,10/31/2012_Chicago_Sacramento
2.0,9.0,21.0,10.0,33.0,79.0,25.0,33.0,14.0,19.0,93.0,8.0,18.0,46.0,1,1,Sacramento,40.0,6.0,17.0,14.0,5.0,34.0,84.0,13.0,16.0,87.0,11.0,10.0,29.0,19.0,Chicago,10/31/2012_Chicago_Sacramento
10.0,27.0,28.0,3.0,39.0,79.0,17.0,23.0,12.0,24.0,105.0,12.0,20.0,45.0,0,1,Detroit,36.0,6.0,16.0,21.0,4.0,35.0,79.0,20.0,26.0,96.0,10.0,12.0,15.0,16.0,Houston,10/31/2012_Detroit_Houston
6.0,16.0,21.0,4.0,35.0,79.0,20.0,26.0,10.0,15.0,96.0,12.0,16.0,36.0,1,0,Houston,45.0,10.0,27.0,28.0,3.0,39.0,79.0,17.0,23.0,105.0,12.0,12.0,24.0,20.0,Detroit,10/31/2012_Detroit_Houston
2.0,14.0,24.0,4.0,33.0,86.0,24.0,30.0,17.0,25.0,92.0,14.0,18.0,44.0,0,0,LA Clippers,39.0,5.0,15.0,25.0,9.0,38.0,74.0,20.0,29.0,101.0,8.0,12.0,27.0,22.0,Memphis,10/31/2012_LA Clippers_Memphis
5.0,15.0,25.0,9.0,38.0,74.0,20.0,29.0,8.0,27.0,101.0,12.0,22.0,39.0,1,1,Memphis,44.0,2.0,14.0,24.0,4.0,33.0,86.0,24.0,30.0,92.0,17.0,14.0,25.0,18.0,LA Clippers,10/31/2012_LA Clippers_Memphis
6.0,20.0,22.0,8.0,38.0,80.0,17.0,26.0,10.0,21.0,99.0,9.0,15.0,43.0,0,1,New Orleans,43.0,4.0,17.0,26.0,6.0,35.0,80.0,21.0,23.0,95.0,9.0,7.0,20.0,13.0,San Antonio,10/31/2012_New Orleans_San Antonio
4.0,17.0,26.0,6.0,35.0,80.0,21.0,23.0,9.0,20.0,95.0,7.0,13.0,43.0,1,0,San Antonio,43.0,6.0,20.0,22.0,8.0,38.0,80.0,17.0,26.0,99.0,10.0,9.0,21.0,15.0,New Orleans,10/31/2012_New Orleans_San Antonio
4.0,18.0,19.0,5.0,33.0,88.0,5.0,11.0,16.0,22.0,75.0,9.0,20.0,54.0,0,0,Philadelphia,47.0,7.0,25.0,18.0,11.0,30.0,85.0,17.0,21.0,84.0,14.0,13.0,14.0,15.0,Denver,10/31/2012_Philadelphia_Denver
7.0,25.0,18.0,11.0,30.0,85.0,17.0,21.0,14.0,14.0,84.0,13.0,15.0,47.0,1,1,Denver,54.0,4.0,18.0,19.0,5.0,33.0,88.0,5.0,11.0,75.0,16.0,9.0,22.0,20.0,Philadelphia,10/31/2012_Philadelphia_Denver
5.0,17.0,19.0,3.0,33.0,86.0,16.0,23.0,17.0,20.0,87.0,9.0,18.0,49.0,0,1,Phoenix,44.0,4.0,21.0,16.0,12.0,32.0,80.0,17.0,22.0,85.0,11.0,10.0,23.0,18.0,Golden State,10/31/2012_Phoenix_Golden State
4.0,21.0,16.0,12.0,32.0,80.0,17.0,22.0,11.0,23.0,85.0,10.0,18.0,44.0,1,0,Golden State,49.0,5.0,17.0,19.0,3.0,33.0,86.0,16.0,23.0,87.0,17.0,9.0,20.0,18.0,Phoenix,10/31/2012_Phoenix_Golden State
8.0,18.0,21.0,2.0,36.0,72.0,26.0,32.0,15.0,29.0,106.0,6.0,24.0,45.0,0,0,Portland,30.0,9.0,20.0,19.0,5.0,42.0,83.0,23.0,28.0,116.0,10.0,10.0,20.0,12.0,LA Lakers,10/31/2012_Portland_LA Lakers
9.0,20.0,19.0,5.0,42.0,83.0,23.0,28.0,10.0,20.0,116.0,10.0,12.0,30.0,1,1,LA Lakers,45.0,8.0,18.0,21.0,2.0,36.0,72.0,26.0,32.0,106.0,15.0,6.0,29.0,24.0,Portland,10/31/2012_Portland_LA Lakers
5.0,11.0,22.0,10.0,37.0,78.0,11.0,16.0,9.0,16.0,90.0,3.0,18.0,46.0,0,1,Toronto,42.0,6.0,17.0,18.0,8.0,33.0,91.0,16.0,19.0,88.0,15.0,12.0,18.0,10.0,Indiana,10/31/2012_Toronto_Indiana
6.0,17.0,18.0,8.0,33.0,91.0,16.0,19.0,15.0,18.0,88.0,12.0,10.0,42.0,1,0,Indiana,46.0,5.0,11.0,22.0,10.0,37.0,78.0,11.0,16.0,90.0,9.0,3.0,16.0,18.0,Toronto,10/31/2012_Toronto_Indiana
11.0,22.0,20.0,5.0,32.0,85.0,19.0,26.0,8.0,32.0,94.0,8.0,16.0,40.0,0,0,Utah,61.0,6.0,14.0,24.0,8.0,38.0,89.0,31.0,42.0,113.0,20.0,10.0,25.0,14.0,Dallas,10/31/2012_Utah_Dallas
6.0,14.0,24.0,8.0,38.0,89.0,31.0,42.0,20.0,25.0,113.0,10.0,14.0,61.0,1,1,Dallas,40.0,11.0,22.0,20.0,5.0,32.0,85.0,19.0,26.0,94.0,8.0,8.0,32.0,16.0,Utah,10/31/2012_Utah_Dallas
