3P_x,3PA_x,3p%_x,DRB%_x,Date_x,EFG%_x,FT_factor_x,Game_Id,ORB%_x,TOV%_x,Team_x,is_Home,line,opp_3P_x,opp_3PA_x,opp_3p%_x,opp_EFG%_x,opp_FT_factor_x,opp_TOV%_x,opp_ppg_x,ppg_x,win%_x,T3P_x,T3PA_x,T3p%_x,TDRB%_x,TEFG%_x,TFT_factor_x,TORB%_x,TTOV%_x,Team_y,Topp_3P_x,Topp_3PA_x,Topp_3p%_x,Topp_EFG%_x,Topp_FT_factor_x,Topp_TOV%_x,Topp_ppg_x,Tppg_x,Twin%_x,played_last_night_x,played_diff_loc_last_night_x,played_road_last_night_x,days_off_x,3P_y,3PA_y,3p%_y,DRB%_y,Date_y,EFG%_y,FT_factor_y,ORB%_y,TOV%_y,opp_3P_y,opp_3PA_y,opp_3p%_y,opp_EFG%_y,opp_FT_factor_y,opp_TOV%_y,opp_ppg_y,ppg_y,win%_y,T3P_y,T3PA_y,T3p%_y,TDRB%_y,TEFG%_y,TFT_factor_y,TORB%_y,TTOV%_y,Topp_3P_y,Topp_3PA_y,Topp_3p%_y,Topp_EFG%_y,Topp_FT_factor_y,Topp_TOV%_y,Topp_ppg_y,Tppg_y,Twin%_y,played_last_night_y,played_diff_loc_last_night_y,played_road_last_night_y,days_off_y
8.9,23.05,0.386117136659,0.741896758703,2013-12-07,0.513723150358,0.207637231504,12/7/2013_Portland_Dallas,0.237983587339,0.133288611383,Dallas,0,2.0,7.65,21.85,0.350114416476,0.509380863039,0.252657911194,0.149576814568,101.65,103.5,0.6,9.16666666667,21.0,0.436507936508,0.730337078652,0.520428015564,0.260700389105,0.305019305019,0.118102288022,Portland,7.33333333333,18.5,0.396396396396,0.495219885277,0.200764818356,0.110448269985,103.833333333,111.5,0.833333333333,,,,,8.9,23.05,0.386117136659,0.741896758703,2013-12-07,0.513723150358,0.207637231504,0.237983587339,0.133288611383,7.65,21.85,0.350114416476,0.509380863039,0.252657911194,0.149576814568,101.65,103.5,0.6,7.83333333333,21.6666666667,0.361538461538,0.720472440945,0.48166023166,0.158301158301,0.215827338129,0.102163887904,6.83333333333,20.5,0.333333333333,0.489473684211,0.258947368421,0.137223974763,98.0,96.8333333333,0.5,,,,
8.3,21.0,0.395238095238,0.730913642053,2013-12-08,0.560716655607,0.248175182482,12/8/2013_Detroit_Miami,0.180167597765,0.15058231724,Miami,0,15.0,8.9,24.1,0.369294605809,0.496134020619,0.243556701031,0.16358493531,95.9,103.2,0.75,6.66666666667,21.1666666667,0.314960629921,0.718253968254,0.52422907489,0.209251101322,0.150214592275,0.156679494228,Miami,7.33333333333,21.6666666667,0.338461538462,0.461538461538,0.275641025641,0.154215215901,93.5,95.1666666667,0.666666666667,,,,,8.3,21.0,0.395238095238,0.730913642053,2013-12-08,0.560716655607,0.248175182482,0.180167597765,0.15058231724,8.9,24.1,0.369294605809,0.496134020619,0.243556701031,0.16358493531,95.9,103.2,0.75,6.5,17.3333333333,0.375,0.762081784387,0.4814453125,0.208984375,0.347670250896,0.14830371567,8.0,24.0,0.333333333333,0.474509803922,0.178431372549,0.153204272363,95.8333333333,100.0,0.666666666667,,,,
9.71428571429,22.7619047619,0.426778242678,0.739583333333,2013-12-09,0.528930450029,0.201636469901,12/9/2013_Charlotte_Golden State,0.238095238095,0.154474327628,Golden State,0,-4.0,6.66666666667,19.3333333333,0.344827586207,0.472144063028,0.227349465391,0.133718708198,99.1428571429,102.619047619,0.571428571429,3.33333333333,14.3333333333,0.232558139535,0.799227799228,0.438669438669,0.239085239085,0.232727272727,0.128209637707,Charlotte,7.66666666667,21.3333333333,0.359375,0.456211812627,0.201629327902,0.11757337151,91.1666666667,89.5,0.333333333333,,,,,9.71428571429,22.7619047619,0.426778242678,0.739583333333,2013-12-09,0.528930450029,0.201636469901,0.238095238095,0.154474327628,6.66666666667,19.3333333333,0.344827586207,0.472144063028,0.227349465391,0.133718708198,99.1428571429,102.619047619,0.571428571429,9.0,22.8333333333,0.394160583942,0.724907063197,0.512096774194,0.243951612903,0.256809338521,0.143673332213,6.33333333333,18.8333333333,0.336283185841,0.482421875,0.244140625,0.124687030546,103.166666667,104.833333333,0.5,,,,
8.0,23.8095238095,0.336,0.73535791757,2013-12-09,0.515326778485,0.239444765761,12/9/2013_Philadelphia_LA Clippers,0.250843644544,0.129997081996,LA Clippers,0,11.0,6.71428571429,19.9523809524,0.336515513126,0.489086731763,0.233199310741,0.135462395678,100.428571429,104.571428571,0.619047619048,6.33333333333,22.3333333333,0.283582089552,0.715355805243,0.468302658487,0.243353783231,0.227799227799,0.119226076347,LA Clippers,6.0,19.8333333333,0.302521008403,0.461386138614,0.184158415842,0.134536082474,93.1666666667,96.1666666667,0.5,,,,,8.0,23.8095238095,0.336,0.73535791757,2013-12-09,0.515326778485,0.239444765761,0.250843644544,0.129997081996,6.71428571429,19.9523809524,0.336515513126,0.489086731763,0.233199310741,0.135462395678,100.428571429,104.571428571,0.619047619048,7.66666666667,24.6666666667,0.310810810811,0.731617647059,0.487985212569,0.142329020333,0.269784172662,0.149210903874,6.5,22.6666666667,0.286764705882,0.523496240602,0.21992481203,0.129434324065,112.333333333,100.833333333,0.166666666667,,,,
9.7619047619,23.3333333333,0.418367346939,0.737297297297,2013-12-09,0.514182424917,0.212458286986,12/9/2013_Utah_Portland,0.297237569061,0.12775202781,Portland,0,11.0,5.7619047619,16.8571428571,0.341807909605,0.485294117647,0.197003329634,0.118015461395,100.19047619,106.238095238,0.809523809524,6.66666666667,16.0,0.416666666667,0.72268907563,0.5,0.216,0.292490118577,0.125260960334,Utah,8.66666666667,22.3333333333,0.388059701493,0.541247484909,0.237424547284,0.107879428874,109.333333333,101.333333333,0.333333333333,False,False,False,2.0,9.7619047619,23.3333333333,0.418367346939,0.737297297297,2013-12-09,0.514182424917,0.212458286986,0.297237569061,0.12775202781,5.7619047619,16.8571428571,0.341807909605,0.485294117647,0.197003329634,0.118015461395,100.19047619,106.238095238,0.809523809524,9.16666666667,21.8333333333,0.419847328244,0.735632183908,0.521276595745,0.25918762089,0.329501915709,0.127912741696,7.66666666667,18.6666666667,0.410714285714,0.510476190476,0.198095238095,0.114406779661,106.666666667,112.166666667,0.666666666667,False,False,False,2.0
6.45454545455,18.2727272727,0.353233830846,0.7320471597,2013-12-10,0.494084507042,0.192112676056,12/10/2013_Brooklyn_Boston,0.25361512792,0.145901481624,Boston,0,-8.0,5.45454545455,16.4545454545,0.331491712707,0.480225988701,0.229943502825,0.137470167064,95.7727272727,95.2272727273,0.454545454545,6.16666666667,20.0,0.308333333333,0.751111111111,0.457173447537,0.254817987152,0.274131274131,0.114858705561,Brooklyn,11.5,23.6666666667,0.485915492958,0.553078556263,0.182590233546,0.121189452029,101.166666667,91.0,0.333333333333,,,,,6.45454545455,18.2727272727,0.353233830846,0.7320471597,2013-12-10,0.494084507042,0.192112676056,0.25361512792,0.145901481624,5.45454545455,16.4545454545,0.331491712707,0.480225988701,0.229943502825,0.137470167064,95.7727272727,95.2272727273,0.454545454545,8.83333333333,21.8333333333,0.404580152672,0.763779527559,0.535343035343,0.195426195426,0.26582278481,0.128246753247,5.83333333333,15.8333333333,0.368421052632,0.460805084746,0.241525423729,0.126395390709,91.5,101.5,0.666666666667,,,,
7.75,24.0,0.322916666667,0.748831775701,2013-12-10,0.466909702748,0.240605720695,12/10/2013_Detroit_Minnesota,0.281183932347,0.123958584156,Minnesota,0,27.0,7.85,21.1,0.372037914692,0.517431725741,0.149331783847,0.155676648503,101.9,104.7,0.45,7.33333333333,18.6666666667,0.392857142857,0.771535580524,0.482692307692,0.219230769231,0.360714285714,0.148760330579,Detroit,8.83333333333,25.8333333333,0.341935483871,0.482107355865,0.200795228628,0.155172413793,97.6666666667,102.666666667,0.666666666667,,,,,7.75,24.0,0.322916666667,0.748831775701,2013-12-10,0.466909702748,0.240605720695,0.281183932347,0.123958584156,7.85,21.1,0.372037914692,0.517431725741,0.149331783847,0.155676648503,101.9,104.7,0.45,6.83333333333,23.6666666667,0.288732394366,0.763948497854,0.438212927757,0.249049429658,0.313131313131,0.129047849203,8.83333333333,20.5,0.430894308943,0.574404761905,0.138888888889,0.155837476427,108.166666667,98.6666666667,0.166666666667,,,,
8.42857142857,21.3333333333,0.395089285714,0.726303317536,2013-12-10,0.563964534516,0.24889170361,12/10/2013_Indiana_Miami,0.179144385027,0.151611557317,Miami,0,-6.0,8.80952380952,23.9047619048,0.368525896414,0.494502138057,0.240684178375,0.163009404389,95.8571428571,103.523809524,0.761904761905,7.5,21.0,0.357142857143,0.77366255144,0.499003984064,0.197211155378,0.259109311741,0.12893081761,Indiana,6.16666666667,16.0,0.385416666667,0.502087682672,0.212943632568,0.137589928058,97.1666666667,100.0,0.666666666667,False,False,False,2.0,8.42857142857,21.3333333333,0.395089285714,0.726303317536,2013-12-10,0.563964534516,0.24889170361,0.179144385027,0.151611557317,8.80952380952,23.9047619048,0.368525896414,0.494502138057,0.240684178375,0.163009404389,95.8571428571,103.523809524,0.761904761905,7.83333333333,22.6666666667,0.345588235294,0.69512195122,0.54295154185,0.204845814978,0.166666666667,0.161302121434,6.83333333333,20.3333333333,0.33606557377,0.471276595745,0.274468085106,0.152646907658,95.3333333333,97.6666666667,0.666666666667,False,False,False,2.0
9.25,25.25,0.366336633663,0.721445221445,2013-12-10,0.519030079804,0.203806015961,12/10/2013_LA Lakers_Phoenix,0.25876662636,0.144127281235,Phoenix,0,6.0,6.1,18.7,0.326203208556,0.481971153846,0.231971153846,0.130729353796,99.5,101.15,0.55,11.8333333333,29.5,0.401129943503,0.692883895131,0.529,0.19,0.22480620155,0.129890453834,LA Lakers,6.83333333333,21.6666666667,0.315384615385,0.488571428571,0.226666666667,0.109536512171,105.333333333,104.0,0.5,,,,,9.25,25.25,0.366336633663,0.721445221445,2013-12-10,0.519030079804,0.203806015961,0.25876662636,0.144127281235,6.1,18.7,0.326203208556,0.481971153846,0.231971153846,0.130729353796,99.5,101.15,0.55,9.5,25.3333333333,0.375,0.670588235294,0.536307053942,0.234439834025,0.299578059072,0.126130920703,6.66666666667,20.1666666667,0.330578512397,0.496031746032,0.22619047619,0.114360313316,102.333333333,105.0,0.666666666667,,,,
7.86363636364,23.9545454545,0.328273244782,0.735655737705,2013-12-11,0.512700165654,0.239094422971,12/11/2013_Boston_LA Clippers,0.248394004283,0.129204608809,LA Clippers,0,8.0,6.54545454545,20.0,0.327272727273,0.48336061102,0.229132569558,0.135555861689,99.6363636364,104.090909091,0.636363636364,9.5,22.1666666667,0.428571428571,0.763052208835,0.54343220339,0.209745762712,0.241379310345,0.120749862158,Boston,5.83333333333,16.3333333333,0.357142857143,0.477272727273,0.242424242424,0.135892304894,92.1666666667,102.0,0.666666666667,False,False,False,2.0,7.86363636364,23.9545454545,0.328273244782,0.735655737705,2013-12-11,0.512700165654,0.239094422971,0.248394004283,0.129204608809,6.54545454545,20.0,0.327272727273,0.48336061102,0.229132569558,0.135555861689,99.6363636364,104.090909091,0.636363636364,6.16666666667,22.6666666667,0.272058823529,0.715328467153,0.465794768612,0.23138832998,0.230188679245,0.116540055249,6.0,20.0,0.3,0.455252918288,0.182879377432,0.134962089301,93.6666666667,96.3333333333,0.5,False,False,False,2.0
