,Unnamed: 0,3P_x,3PA_x,AST_x,BLK_x,FG_x,FGA_x,FT_x,FTA_x,ORB_x,DRB_x,PF_x,PTS_x,STL_x,TOV_x,TRB_x,Team_Win_x,opp_TRB_x,opp_3P_x,opp_3PA_x,opp_AST_x,opp_BLK_x,opp_FG_x,opp_FGA_x,opp_FT_x,opp_FTA_x,opp_PTS_x,opp_ORB_x,opp_DRB_x,opp_STL_x,opp_PF_x,opp_TOV_x,Team_x,Game_Id,Date_x,Days_Since_x,team_location_x,distance_From_Home_x,team_time_zone_x,time_zone_diff_x,last_loc_x,distance_From_Last_Game_x,last_time_zone_x,time_zone_change_x,game_number_x,played_yesterday_x,played_diff_loc_yesterday_x,back_to_back_road_games_x,first_x,eFG%_x,TOV%_x,opp_eFG%_x,opp_TOV%_x,ORB%_x,opp_ORB%_x,FT_factor_x,opp_FT_factor_x,DRB%_x,opp_DRB%_x,3P_y,3PA_y,AST_y,BLK_y,FG_y,FGA_y,FT_y,FTA_y,ORB_y,DRB_y,PF_y,PTS_y,STL_y,TOV_y,TRB_y,Team_Win_y,opp_TRB_y,opp_3P_y,opp_3PA_y,opp_AST_y,opp_BLK_y,opp_FG_y,opp_FGA_y,opp_FT_y,opp_FTA_y,opp_PTS_y,opp_ORB_y,opp_DRB_y,opp_STL_y,opp_PF_y,opp_TOV_y,total_PTS,is_Home_y,Team_y,Date_y,Days_Since_y,game_Location,team_location_y,distance_From_Home_y,game_time_zone,team_time_zone_y,game_hour (et),time_zone_diff_y,last_loc_y,distance_From_Last_Game_y,last_time_zone_y,time_zone_change_y,game_number_y,result,played_yesterday_y,played_diff_loc_yesterday_y,back_to_back_road_games_y,first_y,eFG%_y,TOV%_y,opp_eFG%_y,opp_TOV%_y,ORB%_y,opp_ORB%_y,FT_factor_y,opp_FT_factor_y,DRB%_y,opp_DRB%_y,Home Opener,Home Closing Line,Visitor Juice,Home Juice,Opening Total,Closing Total,Over Juice,Under Juice,Visitor ML Open,Visitor ML,Home ML Open,Home ML
18,18,9.61904761905,29.7619047619,18.8095238095,3.66666666667,34.1904761905,83.1428571429,14.1428571429,17.8571428571,9.2380952381,31.0476190476,19.619047619,92.1428571429,7.57142857143,12.2380952381,40.2857142857,0,44.7619047619,9.80952380952,24.9047619048,20.8095238095,3.80952380952,36.4761904762,78.3333333333,17.619047619,23.0476190476,100.380952381,8.19047619048,36.5714285714,6.95238095238,19.8095238095,15.1428571429,Dallas,12/7/2016_Dallas_Sacramento,2016-12-07,3.0,Dallas,0,2,0,Dallas,0.0,2.0,0.0,21,False,False,False,0,0.469072164948,0.118542435424,0.528267477204,0.146142392323,0.201663201663,0.208737864078,0.170103092784,0.224924012158,0.791262135922,0.798336798337,8.19047619048,23.5714285714,22.0476190476,4.14285714286,37.619047619,84.0952380952,19.7619047619,25.2857142857,9.80952380952,32.5238095238,20.9047619048,103.19047619,8.0,13.9047619048,42.3333333333,1,42.8095238095,10.380952381,28.5238095238,22.5714285714,5.95238095238,37.0476190476,81.9523809524,19.619047619,25.6666666667,104.095238095,9.85714285714,32.9523809524,7.95238095238,22.2857142857,14.0476190476,207.285714286,0,Sacramento,2016-12-07,2.0,Dallas,Dallas,0,2,0,19,2,New York,2492.0,3.0,-1.0,21,31.0,False,False,False,1,0.496036240091,0.12741966452,0.515398024404,0.130927231089,0.229398663697,0.232584269663,0.234994337486,0.239395700174,0.767415730337,0.770601336303,3.0,3.0,-108.0,-102.0,193.0,196.0,-113.0,102.0,-158.0,-155.0,143.0,140.0
19,19,9.86363636364,29.8636363636,19.0,3.54545454545,34.4090909091,83.0,14.3181818182,18.1363636364,9.04545454545,30.9090909091,19.5909090909,93.0,7.59090909091,12.0454545455,39.9545454545,1,44.4545454545,10.0,24.9090909091,20.8181818182,3.81818181818,36.2727272727,77.9090909091,17.9545454545,23.1818181818,100.5,8.0,36.4545454545,6.86363636364,19.7272727273,15.0454545455,Dallas,12/9/2016_Dallas_Indiana,2016-12-09,2.0,Dallas,0,2,0,Dallas,0.0,2.0,0.0,22,False,False,False,0,0.473986856517,0.116917266695,0.52975495916,0.145853529567,0.198801198801,0.205607476636,0.172508214677,0.230455075846,0.794392523364,0.801198801199,7.78260869565,21.9130434783,22.2173913043,5.60869565217,39.2173913043,86.1304347826,18.1739130435,22.5652173913,9.04347826087,33.347826087,20.0434782609,104.391304348,9.13043478261,14.4782608696,42.3913043478,0,46.5217391304,10.1739130435,30.2173913043,23.3913043478,5.65217391304,39.4347826087,87.3043478261,18.4347826087,23.3043478261,107.47826087,11.6956521739,34.8260869565,8.86956521739,20.4782608696,15.5652173913,211.869565217,0,Indiana,2016-12-09,2.0,Dallas,Indianapolis,1448,2,3,20,-1,Phoenix,1713.0,1.0,1.0,23,-8.0,False,False,False,1,0.500504795558,0.130980663635,0.509960159363,0.137594932817,0.206144697721,0.259652509653,0.21100454316,0.211155378486,0.740347490347,0.793855302279,5.0,3.5,-103.0,-107.0,200.0,199.5,-105.0,-105.0,-185.0,-167.0,166.0,151.0
20,20,9.91304347826,30.0434782609,18.9565217391,3.52173913043,34.3043478261,82.8260869565,14.2173913043,17.9565217391,8.91304347826,30.6956521739,19.5217391304,92.7391304348,7.5652173913,11.9130434783,39.6086956522,0,44.6086956522,10.3913043478,25.4347826087,21.2608695652,3.69565217391,36.3043478261,77.7391304348,17.8695652174,23.1304347826,100.869565217,8.08695652174,36.5217391304,6.73913043478,19.5652173913,15.0434782609,Dallas,12/10/2016_Houston_Dallas,2016-12-10,1.0,Houston,0,2,0,Dallas,385.0,2.0,0.0,23,True,True,False,0,0.474015748031,0.116066284862,0.533836689038,0.146109928719,0.196172248804,0.208520179372,0.171653543307,0.229865771812,0.791479820628,0.803827751196,14.0416666667,37.2083333333,24.9166666667,4.66666666667,40.1666666667,86.0416666667,17.25,22.875,11.5416666667,33.25,20.125,111.625,7.875,15.4583333333,44.7916666667,1,40.9166666667,9.75,27.4583333333,21.6666666667,4.875,38.9166666667,86.1666666667,18.125,22.8333333333,105.708333333,10.0,30.9166666667,8.75,19.125,13.5416666667,217.333333333,1,Houston,2016-12-10,1.0,Houston,Houston,0,2,2,13,0,Oklahoma City,716.0,2.0,0.0,24,22.0,True,True,False,1,0.548426150121,0.13855898654,0.508220502901,0.123380863438,0.271835132483,0.231213872832,0.200484261501,0.210348162476,0.768786127168,0.728164867517,-13.0,-12.5,-113.0,102.0,207.0,209.0,101.0,-111.0,964.0,704.0,-1337.0,-900.0
21,21,10.0,29.875,19.0833333333,3.66666666667,34.75,82.5833333333,14.0416666667,17.7083333333,8.875,30.5,19.3333333333,93.5416666667,7.625,11.7916666667,39.375,1,44.5416666667,10.25,25.4166666667,21.1666666667,3.66666666667,36.25,77.9583333333,17.75,22.9166666667,100.5,8.58333333333,35.9583333333,6.70833333333,19.375,15.0833333333,Dallas,12/12/2016_Dallas_Denver,2016-12-12,2.0,Dallas,0,2,0,Houston,385.0,2.0,0.0,24,False,False,False,0,0.481331987891,0.115415986949,0.530732228755,0.146262626263,0.197955390335,0.219616204691,0.170030272452,0.227685729556,0.780383795309,0.802044609665,9.04,25.84,21.48,4.4,38.48,88.12,19.6,26.32,13.44,35.8,20.76,105.6,6.44,16.16,49.24,0,41.4,8.76,24.6,22.44,5.72,40.64,87.6,18.8,24.32,108.84,9.0,32.4,9.16,21.96,11.52,214.44,0,Denver,2016-12-12,2.0,Dallas,Dallas,0,2,1,20,1,Orlando,1745.0,3.0,-1.0,25,-20.0,False,False,False,1,0.487970948706,0.139477718089,0.513926940639,0.104898161368,0.293193717277,0.200892857143,0.222423967317,0.214611872146,0.799107142857,0.706806282723,1.0,2.5,-102.0,-108.0,203.5,203.5,-108.0,-102.0,-118.0,-132.0,107.0,120.0
22,22,9.92,29.68,19.08,3.64,34.64,82.4,14.0,17.64,8.76,30.24,19.44,93.2,7.84,11.76,39.0,0,44.76,10.04,25.08,21.04,3.6,36.24,77.68,17.76,22.88,100.28,8.64,36.12,6.6,19.36,15.24,Dallas,12/14/2016_Dallas_Detroit,2016-12-14,3.0,Dallas,0,2,0,Dallas,0.0,2.0,0.0,25,False,False,False,0,0.480582524272,0.115382804038,0.531153450051,0.147979554741,0.195187165775,0.222222222222,0.169902912621,0.228630278064,0.777777777778,0.804812834225,7.22222222222,20.9259259259,20.7407407407,3.88888888889,39.037037037,86.2592592593,13.6296296296,18.037037037,9.74074074074,34.962962963,17.5925925926,98.9259259259,7.03703703704,11.2962962963,44.7037037037,1,43.0,7.88888888889,23.9259259259,20.962962963,4.59259259259,35.8518518519,82.4814814815,16.0740740741,21.0,95.6666666667,8.88888888889,34.1111111111,6.74074074074,16.5555555556,11.962962963,194.592592593,0,Detroit,2016-12-14,2.0,Dallas,Dallas,0,2,3,20,-1,Detroit,1908.0,3.0,-1.0,27,10.0,False,False,False,1,0.494418205238,0.107082168888,0.482487651549,0.115378570306,0.222128378378,0.202702702703,0.158007728639,0.194881005837,0.797297297297,0.777871621622,3.5,5.0,-102.0,-108.0,190.5,190.0,-113.0,102.0,-178.0,-200.0,160.0,180.0
23,23,10.0,29.6153846154,19.0384615385,3.5,34.6538461538,82.1923076923,14.1538461538,17.7692307692,8.69230769231,29.8076923077,19.6153846154,93.4615384615,7.88461538462,11.5384615385,38.5,0,44.6153846154,9.96153846154,24.9615384615,20.9230769231,3.57692307692,36.2692307692,77.1923076923,17.8846153846,23.0384615385,100.384615385,8.61538461538,36.0,6.5,19.5,15.2692307692,Dallas,12/16/2016_Utah_Dallas,2016-12-16,2.0,Salt Lake City,0,2,-1,Dallas,2004.0,2.0,-1.0,26,False,False,False,0,0.482452035564,0.113624312573,0.534379671151,0.148825143577,0.194492254733,0.224224224224,0.172204024333,0.231689088191,0.775775775776,0.805507745267,9.74074074074,26.4814814815,19.2962962963,5.25925925926,36.6296296296,77.7037037037,17.8888888889,22.8888888889,8.14814814815,34.2962962963,19.7037037037,100.888888889,6.22222222222,12.5925925926,42.4444444444,1,40.5555555556,8.22222222222,22.5555555556,17.962962963,3.74074074074,35.5555555556,82.8518518519,16.0740740741,21.1481481481,95.4074074074,9.92592592593,30.6296296296,6.81481481481,20.1481481481,11.037037037,196.296296296,1,Utah,2016-12-16,2.0,Salt Lake City,Salt Lake City,0,1,1,21,0,Salt Lake City,0.0,1.0,0.0,27,3.0,False,False,False,1,0.534080076263,0.125464958375,0.478766204738,0.106954174802,0.210124164279,0.22445561139,0.230219256435,0.1940098346,0.77554438861,0.789875835721,-11.0,-10.5,-103.0,-107.0,188.0,185.0,-107.0,-103.0,604.0,548.0,-750.0,-670.0
24,24,10.1111111111,29.7407407407,19.0740740741,3.59259259259,34.6296296296,82.0,14.2962962963,17.9259259259,8.59259259259,30.1111111111,19.3703703704,93.6666666667,7.96296296296,11.5185185185,38.7037037037,1,44.5185185185,9.88888888889,25.1851851852,20.7407407407,3.59259259259,36.037037037,77.1481481481,17.6296296296,22.8148148148,99.5925925926,8.51851851852,36.0,6.51851851852,19.5555555556,15.2592592593,Dallas,12/18/2016_Dallas_Sacramento,2016-12-18,2.0,Dallas,0,2,0,Salt Lake City,2004.0,1.0,1.0,27,False,False,False,0,0.48396567299,0.113588218966,0.531204992799,0.148949400587,0.1926910299,0.220517737296,0.174345076784,0.22851656265,0.779482262704,0.8073089701,8.2962962963,24.4074074074,21.7777777778,4.25925925926,37.2592592593,84.2592592593,18.6666666667,24.3333333333,9.92592592593,32.1481481481,20.5555555556,101.481481481,8.2962962963,13.7407407407,42.0740740741,0,43.8518518519,10.7777777778,28.8888888889,22.8148148148,6.03703703704,36.9259259259,81.6666666667,19.3703703704,25.0740740741,104.0,10.2222222222,33.6296296296,8.0,21.4814814815,14.5185185185,205.481481481,0,Sacramento,2016-12-18,2.0,Dallas,Dallas,0,2,0,19,2,Memphis,729.0,2.0,0.0,27,-20.0,False,False,False,1,0.491428571429,0.126402006078,0.518140589569,0.135411485105,0.227891156463,0.241258741259,0.221538461538,0.237188208617,0.758741258741,0.772108843537,-1.0,1.0,102.0,-113.0,195.5,194.5,105.0,-116.0,108.0,-105.0,-119.0,-105.0
25,25,10.25,29.5714285714,19.1428571429,3.60714285714,34.9285714286,81.9285714286,14.0357142857,17.6071428571,8.42857142857,29.9285714286,19.2857142857,94.1428571429,7.82142857143,11.5357142857,38.3571428571,0,44.3928571429,10.0,25.1785714286,21.1428571429,3.46428571429,36.3571428571,77.25,17.5,22.6428571429,100.214285714,8.46428571429,35.9285714286,6.53571428571,19.3214285714,15.1071428571,Dallas,12/19/2016_Denver_Dallas,2016-12-19,2.0,Denver,0,2,-1,Dallas,1283.0,2.0,-1.0,28,True,True,False,0,0.488884045336,0.113976400181,0.535367545076,0.147646040433,0.19001610306,0.220465116279,0.171316477768,0.226537216828,0.779534883721,0.80998389694,9.42857142857,26.0357142857,22.2142857143,4.32142857143,39.2857142857,87.75,19.7142857143,26.4285714286,12.8214285714,35.3571428571,20.9642857143,107.714285714,6.57142857143,15.7142857143,48.1785714286,1,40.7142857143,8.89285714286,24.5,22.2142857143,5.53571428571,40.5357142857,87.0714285714,19.3928571429,24.7142857143,109.357142857,9.03571428571,31.6785714286,8.75,22.0714285714,11.6071428571,217.071428571,1,Denver,2016-12-19,1.0,Denver,Denver,0,1,1,20,0,Denver,0.0,1.0,0.0,28,10.0,False,False,False,1,0.501424501425,0.136535716502,0.51661197703,0.105950161044,0.288121990369,0.203539823009,0.224664224664,0.222723543888,0.796460176991,0.711878009631,-8.5,-8.0,-105.0,-105.0,205.0,207.0,-105.0,-105.0,350.0,310.0,-405.0,-355.0
26,26,10.1379310345,29.6206896552,18.9655172414,3.65517241379,34.9310344828,81.9655172414,14.2068965517,17.7931034483,8.48275862069,29.8620689655,19.3103448276,94.2068965517,7.96551724138,11.4827586207,38.3448275862,1,44.3448275862,10.0,25.2413793103,20.9310344828,3.48275862069,36.2068965517,77.0689655172,17.6206896552,22.8275862069,100.034482759,8.48275862069,35.8620689655,6.51724137931,19.3448275862,15.1724137931,Dallas,12/21/2016_Portland_Dallas,2016-12-21,1.0,Portland,0,2,-2,Denver,2003.0,1.0,-1.0,29,False,False,False,0,0.488010096761,0.113379456868,0.534675615213,0.148333940154,0.191290824261,0.221223021583,0.173327724022,0.228635346756,0.778776978417,0.808709175739,10.5483870968,29.3548387097,22.0967741935,4.83870967742,39.7096774194,86.8064516129,19.3870967742,24.5161290323,9.90322580645,32.2580645161,22.8709677419,109.35483871,6.87096774194,12.9677419355,42.1612903226,0,44.8709677419,9.77419354839,25.9677419355,21.1935483871,5.35483870968,40.064516129,86.5483870968,22.935483871,28.9677419355,112.838709677,10.4838709677,34.3870967742,7.83870967742,19.9032258065,12.6774193548,222.193548387,1,Portland,2016-12-21,2.0,Portland,Portland,0,0,0,20,0,Sacramento,935.0,0.0,0.0,31,-1.0,True,True,False,1,0.518208844296,0.117290074109,0.519381289601,0.113219940538,0.22359796067,0.245283018868,0.223337049424,0.265001863586,0.754716981132,0.77640203933,-5.5,-6.0,-107.0,-103.0,209.5,210.0,-110.0,-100.0,195.0,211.0,-218.0,-237.0
27,27,10.1290322581,29.6774193548,19.2903225806,3.58064516129,35.064516129,81.9032258065,14.1290322581,17.8387096774,8.51612903226,29.7419354839,19.2258064516,94.3870967742,8.0,11.4516129032,38.2580645161,0,44.1290322581,10.1612903226,25.3548387097,20.9032258065,3.48387096774,36.1612903226,76.7419354839,17.5161290323,22.6774193548,100.0,8.29032258065,35.8387096774,6.58064516129,19.2258064516,15.1612903226,Dallas,12/26/2016_New Orleans_Dallas,2016-12-26,3.0,New Orleans,0,2,0,Los Angeles,3048.0,0.0,2.0,31,False,False,False,0,0.489956675857,0.113153902057,0.537410676755,0.148813293143,0.192,0.217981340119,0.172508861757,0.228247162673,0.782018659881,0.808,8.69696969697,25.2727272727,22.9090909091,5.90909090909,38.2121212121,86.9393939394,17.7272727273,23.4545454545,8.63636363636,35.8181818182,18.7272727273,102.848484848,7.51515151515,12.1818181818,44.4545454545,1,48.4545454545,10.7575757576,30.3333333333,24.6666666667,4.42424242424,40.0,89.3939393939,15.8484848485,20.696969697,106.606060606,10.1212121212,38.3333333333,7.21212121212,19.7878787879,13.0,209.454545455,1,New Orleans,2016-12-26,3.0,New Orleans,New Orleans,0,2,2,19,0,New Orleans,0.0,2.0,0.0,33,7.0,False,False,False,1,0.489543394911,0.111309240328,0.507627118644,0.116591294517,0.183870967742,0.220316622691,0.203903799233,0.177288135593,0.779683377309,0.816129032258,-4.5,-4.5,-104.0,-106.0,198.5,200.0,-105.0,-105.0,166.0,169.0,-185.0,-188.0
