3P,3PA,AST,BLK,Date,FG,FGA,FT,FTA,Game_Id,ORB,Opponent,PF,PTS,STL,TOV,TRB,Team,name,opp_score,started,team_score,+/-,is_Home,Team_Win,time_played_(s)
0,0,6,2,2011-12-25,11,19,15,19,12/25/2011_Dallas_Miami,3,Dallas,3,37,2,3,10,Miami,LeBron James,94,1,105,27,0,1,2176
0,0,6,1,2011-12-25,11,21,4,6,12/25/2011_Dallas_Miami,1,Dallas,4,26,1,5,8,Miami,Dwyane Wade,94,1,105,10,0,1,2079
0,0,0,1,2011-12-25,2,3,2,3,12/25/2011_Dallas_Miami,1,Dallas,1,6,0,0,2,Miami,Joel Anthony,94,1,105,23,0,1,1538
0,0,4,0,2011-12-25,1,1,1,1,12/25/2011_Dallas_Miami,0,Dallas,3,3,4,2,1,Miami,Mario Chalmers,94,1,105,25,0,1,1461
0,0,1,1,2011-12-25,2,9,0,0,12/25/2011_Dallas_Miami,1,Dallas,5,4,1,2,7,Miami,Chris Bosh,94,1,105,16,0,1,1439
0,0,1,1,2011-12-25,3,6,3,5,12/25/2011_Dallas_Miami,6,Dallas,5,9,0,3,14,Miami,Udonis Haslem,94,0,105,-4,0,1,1936
1,1,0,0,2011-12-25,3,8,0,1,12/25/2011_Dallas_Miami,0,Dallas,3,7,1,4,2,Miami,Norris Cole,94,0,105,-14,0,1,1419
3,5,0,0,2011-12-25,3,6,0,1,12/25/2011_Dallas_Miami,0,Dallas,2,9,0,2,2,Miami,James Jones,94,0,105,-15,0,1,1106
0,0,0,0,2011-12-25,2,3,0,0,12/25/2011_Dallas_Miami,2,Dallas,0,4,0,0,2,Miami,Juwan Howard,94,0,105,2,0,1,475
0,1,0,0,2011-12-25,0,1,0,0,12/25/2011_Dallas_Miami,0,Dallas,0,0,0,0,0,Miami,Shane Battier,94,0,105,6,0,1,243
0,0,0,0,2011-12-25,0,0,0,0,12/25/2011_Dallas_Miami,1,Dallas,0,0,0,1,2,Miami,Terrel Harris,94,0,105,-7,0,1,176
0,0,0,0,2011-12-25,0,0,0,0,12/25/2011_Dallas_Miami,0,Dallas,2,0,0,0,0,Miami,Mickell Gladness,94,0,105,-7,0,1,176
0,0,0,0,2011-12-25,0,1,0,0,12/25/2011_Dallas_Miami,0,Dallas,0,0,0,0,1,Miami,Dexter Pittman,94,0,105,-7,0,1,176
0,0,3,0,2011-12-25,6,10,0,0,12/25/2011_Dallas_Miami,2,Miami,3,12,0,3,6,Dallas,Shawn Marion,105,1,94,-31,1,0,1758
0,0,3,0,2011-12-25,6,15,9,10,12/25/2011_Dallas_Miami,1,Miami,4,21,0,2,5,Dallas,Dirk Nowitzki,105,1,94,-28,1,0,1753
2,5,3,0,2011-12-25,2,5,3,3,12/25/2011_Dallas_Miami,0,Miami,2,9,2,2,0,Dallas,Jason Kidd,105,1,94,-26,1,0,1655
1,3,3,0,2011-12-25,2,6,0,2,12/25/2011_Dallas_Miami,0,Miami,3,5,0,2,2,Dallas,Vince Carter,105,1,94,0,1,0,1241
0,0,0,0,2011-12-25,0,2,0,0,12/25/2011_Dallas_Miami,2,Miami,4,0,0,2,3,Dallas,Brendan Haywood,105,1,94,-6,1,0,818
4,10,3,0,2011-12-25,9,18,1,2,12/25/2011_Dallas_Miami,0,Miami,2,23,2,0,1,Dallas,Jason Terry,105,0,94,-1,1,0,1729
1,3,3,0,2011-12-25,3,7,3,3,12/25/2011_Dallas_Miami,0,Miami,0,10,3,3,0,Dallas,Delonte West,105,0,94,-4,1,0,1478
0,0,0,0,2011-12-25,1,3,0,1,12/25/2011_Dallas_Miami,1,Miami,4,2,0,0,4,Dallas,Ian Mahinmi,105,0,94,6,1,0,908
0,2,1,0,2011-12-25,0,2,4,4,12/25/2011_Dallas_Miami,0,Miami,2,4,1,1,2,Dallas,Brian Cardinal,105,0,94,16,1,0,867
1,2,1,0,2011-12-25,1,6,1,3,12/25/2011_Dallas_Miami,1,Miami,4,4,1,2,4,Dallas,Lamar Odom,105,0,94,-11,1,0,783
0,0,0,0,2011-12-25,0,1,0,0,12/25/2011_Dallas_Miami,0,Miami,0,0,1,0,1,Dallas,Brandan Wright,105,0,94,9,1,0,651
0,2,3,0,2011-12-25,0,4,0,0,12/25/2011_Dallas_Miami,1,Miami,1,0,0,0,3,Dallas,Rodrigue Beaubois,105,0,94,12,1,0,506
0,1,0,0,2011-12-25,1,3,2,2,12/25/2011_Dallas_Miami,0,Miami,0,4,0,0,0,Dallas,Dominique Jones,105,0,94,9,1,0,253
3,10,4,0,2011-12-25,6,19,6,6,12/25/2011_Golden State_LA Clippers,0,Golden State,2,21,0,1,5,LA Clippers,Chauncey Billups,86,1,105,18,0,1,2299
1,3,9,0,2011-12-25,7,12,5,6,12/25/2011_Golden State_LA Clippers,1,Golden State,4,20,2,2,2,LA Clippers,Chris Paul,86,1,105,19,0,1,2199
1,3,4,0,2011-12-25,4,10,2,3,12/25/2011_Golden State_LA Clippers,0,Golden State,0,11,3,0,10,LA Clippers,Caron Butler,86,1,105,17,0,1,2161
0,0,1,0,2011-12-25,9,18,4,8,12/25/2011_Golden State_LA Clippers,5,Golden State,4,22,2,3,7,LA Clippers,Blake Griffin,86,1,105,17,0,1,2084
0,0,0,8,2011-12-25,1,2,4,12,12/25/2011_Golden State_LA Clippers,3,Golden State,2,6,0,2,5,LA Clippers,DeAndre Jordan,86,1,105,15,0,1,1831
0,1,3,0,2011-12-25,4,8,0,0,12/25/2011_Golden State_LA Clippers,0,Golden State,1,8,2,1,3,LA Clippers,Mo Williams,86,0,105,1,0,1,1332
2,4,0,0,2011-12-25,2,7,2,2,12/25/2011_Golden State_LA Clippers,2,Golden State,5,8,0,0,6,LA Clippers,Brian Cook,86,0,105,-6,0,1,945
0,1,0,0,2011-12-25,3,4,0,1,12/25/2011_Golden State_LA Clippers,1,Golden State,1,6,0,0,4,LA Clippers,Ryan Gomes,86,0,105,12,0,1,866
1,1,1,0,2011-12-25,1,1,0,0,12/25/2011_Golden State_LA Clippers,1,Golden State,0,3,0,1,1,LA Clippers,Randy Foye,86,0,105,2,0,1,683
0,5,8,0,2011-12-25,6,19,3,6,12/25/2011_Golden State_LA Clippers,2,LA Clippers,4,15,1,4,4,Golden State,Monta Ellis,105,1,86,-22,1,0,2562
0,0,2,1,2011-12-25,10,19,1,2,12/25/2011_Golden State_LA Clippers,4,LA Clippers,6,21,0,4,12,Golden State,David Lee,105,1,86,-18,1,0,2113
0,4,4,2,2011-12-25,2,12,0,1,12/25/2011_Golden State_LA Clippers,2,LA Clippers,4,4,2,5,5,Golden State,Stephen Curry,105,1,86,-5,1,0,2008
1,6,1,0,2011-12-25,1,6,5,5,12/25/2011_Golden State_LA Clippers,4,LA Clippers,1,8,0,0,9,Golden State,Dorell Wright,105,1,86,-2,1,0,1850
0,0,0,3,2011-12-25,5,5,0,0,12/25/2011_Golden State_LA Clippers,2,LA Clippers,4,10,0,0,8,Golden State,Andris Biedrins,105,1,86,-1,1,0,1227
2,2,0,2,2011-12-25,3,6,4,4,12/25/2011_Golden State_LA Clippers,0,LA Clippers,4,12,1,1,3,Golden State,Brandon Rush,105,0,86,-21,1,0,1703
1,3,1,0,2011-12-25,2,8,2,2,12/25/2011_Golden State_LA Clippers,1,LA Clippers,3,7,0,2,3,Golden State,Klay Thompson,105,0,86,-10,1,0,1140
0,0,0,0,2011-12-25,0,2,1,2,12/25/2011_Golden State_LA Clippers,1,LA Clippers,1,1,0,0,3,Golden State,Ekpe Udoh,105,0,86,-2,1,0,777
0,0,0,0,2011-12-25,0,1,1,2,12/25/2011_Golden State_LA Clippers,1,LA Clippers,3,1,0,0,1,Golden State,Kwame Brown,105,0,86,-7,1,0,409
1,1,0,0,2011-12-25,3,4,0,0,12/25/2011_Golden State_LA Clippers,0,LA Clippers,2,7,0,0,0,Golden State,Ish Smith,105,0,86,0,1,0,322
0,0,0,0,2011-12-25,0,0,0,0,12/25/2011_Golden State_LA Clippers,0,LA Clippers,0,0,0,0,0,Golden State,Dominic McGuire,105,0,86,-5,1,0,209
0,0,1,0,2011-12-25,0,0,0,0,12/25/2011_Golden State_LA Clippers,0,LA Clippers,0,0,0,0,0,Golden State,Charles Jenkins,105,0,86,-2,1,0,58
0,0,0,0,2011-12-25,0,0,0,0,12/25/2011_Golden State_LA Clippers,0,LA Clippers,0,0,0,0,0,Golden State,Jeremy Tyler,105,0,86,0,1,0,22
1,4,3,1,2011-12-25,7,19,6,6,12/25/2011_LA Lakers_Chicago,3,LA Lakers,2,21,4,0,7,Chicago,Luol Deng,87,1,88,13,0,1,2293
