,3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,Team,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,opponent,Game_Id
0,9.0,27.0,17.0,6.0,32.0,87.0,15.0,20.0,13.0,22.0,88.0,6.0,18.0,42.0,0,0,Cleveland,13.0,35.0,31.0,5.0,45.0,94.0,14.0,19.0,117.0,11.0,12.0,22.0,14.0,New York,10/25/2016_Cleveland_New York
1,13.0,35.0,31.0,5.0,45.0,94.0,14.0,19.0,11.0,22.0,117.0,12.0,14.0,51.0,1,1,New York,9.0,27.0,17.0,6.0,32.0,87.0,15.0,20.0,88.0,13.0,6.0,22.0,18.0,Cleveland,10/25/2016_Cleveland_New York
2,12.0,24.0,25.0,3.0,47.0,98.0,23.0,26.0,21.0,19.0,129.0,13.0,13.0,55.0,0,1,Golden State,7.0,33.0,24.0,6.0,40.0,85.0,13.0,18.0,100.0,8.0,11.0,19.0,16.0,San Antonio,10/25/2016_Golden State_San Antonio
3,7.0,33.0,24.0,6.0,40.0,85.0,13.0,18.0,8.0,19.0,100.0,11.0,16.0,35.0,1,0,San Antonio,12.0,24.0,25.0,3.0,47.0,98.0,23.0,26.0,129.0,21.0,13.0,19.0,13.0,Golden State,10/25/2016_Golden State_San Antonio
4,8.0,24.0,19.0,5.0,40.0,82.0,16.0,16.0,6.0,19.0,104.0,9.0,11.0,31.0,0,0,Portland,13.0,19.0,22.0,3.0,39.0,75.0,22.0,22.0,113.0,5.0,5.0,18.0,12.0,Utah,10/25/2016_Portland_Utah
5,13.0,19.0,22.0,3.0,39.0,75.0,22.0,22.0,5.0,18.0,113.0,5.0,12.0,34.0,1,1,Utah,8.0,24.0,19.0,5.0,40.0,82.0,16.0,16.0,104.0,6.0,9.0,19.0,11.0,Portland,10/25/2016_Portland_Utah
6,15.0,44.0,22.0,3.0,43.0,97.0,16.0,20.0,15.0,19.0,117.0,8.0,16.0,44.0,0,0,Boston,11.0,32.0,36.0,9.0,48.0,89.0,15.0,18.0,122.0,12.0,13.0,20.0,19.0,Brooklyn,10/26/2016_Boston_Brooklyn
7,11.0,32.0,36.0,9.0,48.0,89.0,15.0,18.0,12.0,20.0,122.0,13.0,19.0,47.0,1,1,Brooklyn,15.0,44.0,22.0,3.0,43.0,97.0,16.0,20.0,117.0,15.0,8.0,19.0,16.0,Boston,10/26/2016_Boston_Brooklyn
8,18.0,48.0,26.0,8.0,45.0,104.0,13.0,18.0,10.0,27.0,121.0,8.0,15.0,49.0,0,0,Indiana,10.0,19.0,30.0,6.0,47.0,93.0,26.0,34.0,130.0,8.0,11.0,23.0,16.0,Dallas,10/26/2016_Indiana_Dallas
9,10.0,19.0,30.0,6.0,47.0,93.0,26.0,34.0,8.0,23.0,130.0,11.0,16.0,52.0,1,1,Dallas,18.0,48.0,26.0,8.0,45.0,104.0,13.0,18.0,121.0,10.0,8.0,27.0,15.0,Indiana,10/26/2016_Indiana_Dallas
10,7.0,29.0,29.0,1.0,44.0,86.0,19.0,27.0,10.0,23.0,114.0,10.0,14.0,39.0,0,0,LA Lakers,12.0,35.0,21.0,4.0,45.0,89.0,18.0,22.0,120.0,11.0,10.0,24.0,15.0,Houston,10/26/2016_LA Lakers_Houston
11,12.0,35.0,21.0,4.0,45.0,89.0,18.0,22.0,11.0,24.0,120.0,10.0,15.0,39.0,1,1,Houston,7.0,29.0,29.0,1.0,44.0,86.0,19.0,27.0,114.0,10.0,10.0,23.0,14.0,LA Lakers,10/26/2016_LA Lakers_Houston
12,6.0,18.0,20.0,5.0,36.0,86.0,20.0,29.0,15.0,23.0,98.0,6.0,10.0,45.0,0,0,Memphis,11.0,24.0,19.0,11.0,36.0,80.0,19.0,27.0,102.0,11.0,6.0,25.0,13.0,Minnesota,10/26/2016_Memphis_Minnesota
13,11.0,24.0,19.0,11.0,36.0,80.0,19.0,27.0,11.0,25.0,102.0,6.0,13.0,45.0,1,1,Minnesota,6.0,18.0,20.0,5.0,36.0,86.0,20.0,29.0,98.0,15.0,6.0,23.0,10.0,Memphis,10/26/2016_Memphis_Minnesota
14,7.0,23.0,27.0,10.0,40.0,89.0,20.0,24.0,11.0,22.0,107.0,5.0,10.0,51.0,0,1,Milwaukee,3.0,16.0,23.0,5.0,39.0,92.0,15.0,20.0,96.0,10.0,4.0,22.0,8.0,Charlotte,10/26/2016_Milwaukee_Charlotte
15,3.0,16.0,23.0,5.0,39.0,92.0,15.0,20.0,10.0,22.0,96.0,4.0,8.0,46.0,1,0,Charlotte,7.0,23.0,27.0,10.0,40.0,89.0,20.0,24.0,107.0,11.0,5.0,22.0,10.0,Milwaukee,10/26/2016_Milwaukee_Charlotte
16,8.0,24.0,18.0,4.0,37.0,83.0,25.0,33.0,11.0,22.0,107.0,7.0,24.0,58.0,0,1,New Orleans,3.0,19.0,31.0,5.0,38.0,92.0,23.0,26.0,102.0,5.0,16.0,29.0,11.0,Denver,10/26/2016_New Orleans_Denver
17,3.0,19.0,31.0,5.0,38.0,92.0,23.0,26.0,5.0,29.0,102.0,16.0,11.0,33.0,1,0,Denver,8.0,24.0,18.0,4.0,37.0,83.0,25.0,33.0,107.0,11.0,7.0,22.0,24.0,New Orleans,10/26/2016_New Orleans_Denver
18,4.0,16.0,27.0,7.0,47.0,97.0,10.0,16.0,16.0,22.0,108.0,5.0,10.0,52.0,0,1,Orlando,6.0,18.0,20.0,4.0,34.0,89.0,22.0,28.0,96.0,15.0,5.0,15.0,11.0,Miami,10/26/2016_Orlando_Miami
19,6.0,18.0,20.0,4.0,34.0,89.0,22.0,28.0,15.0,15.0,96.0,5.0,11.0,45.0,1,0,Miami,4.0,16.0,27.0,7.0,47.0,97.0,10.0,16.0,108.0,16.0,5.0,22.0,10.0,Orlando,10/26/2016_Orlando_Miami
20,6.0,22.0,19.0,3.0,39.0,94.0,19.0,26.0,13.0,23.0,103.0,7.0,10.0,53.0,0,1,Philadelphia,7.0,24.0,21.0,10.0,36.0,84.0,18.0,25.0,97.0,5.0,5.0,22.0,13.0,Oklahoma City,10/26/2016_Philadelphia_Oklahoma City
21,7.0,24.0,21.0,10.0,36.0,84.0,18.0,25.0,5.0,22.0,97.0,5.0,13.0,43.0,1,0,Oklahoma City,6.0,22.0,19.0,3.0,39.0,94.0,19.0,26.0,103.0,13.0,7.0,23.0,10.0,Philadelphia,10/26/2016_Philadelphia_Oklahoma City
22,6.0,21.0,24.0,5.0,44.0,86.0,19.0,26.0,10.0,20.0,113.0,5.0,13.0,41.0,0,1,Phoenix,4.0,16.0,20.0,3.0,36.0,77.0,18.0,27.0,94.0,10.0,6.0,29.0,18.0,Sacramento,10/26/2016_Phoenix_Sacramento
23,4.0,16.0,20.0,3.0,36.0,77.0,18.0,27.0,10.0,29.0,94.0,6.0,18.0,41.0,1,0,Sacramento,6.0,21.0,24.0,5.0,44.0,86.0,19.0,26.0,113.0,10.0,5.0,20.0,13.0,Phoenix,10/26/2016_Phoenix_Sacramento
24,4.0,22.0,17.0,0.0,35.0,84.0,17.0,22.0,8.0,24.0,91.0,8.0,13.0,40.0,0,0,Toronto,3.0,18.0,17.0,0.0,41.0,86.0,24.0,29.0,109.0,14.0,8.0,22.0,11.0,Detroit,10/26/2016_Toronto_Detroit
25,3.0,18.0,17.0,0.0,41.0,86.0,24.0,29.0,14.0,22.0,109.0,8.0,11.0,51.0,1,1,Detroit,4.0,22.0,17.0,0.0,35.0,84.0,17.0,22.0,91.0,8.0,8.0,24.0,13.0,Toronto,10/26/2016_Toronto_Detroit
26,6.0,20.0,25.0,4.0,40.0,94.0,13.0,18.0,12.0,20.0,99.0,14.0,19.0,40.0,0,0,Atlanta,12.0,26.0,28.0,7.0,44.0,88.0,14.0,18.0,114.0,14.0,13.0,19.0,21.0,Washington,10/27/2016_Atlanta_Washington
27,12.0,26.0,28.0,7.0,44.0,88.0,14.0,18.0,14.0,19.0,114.0,13.0,21.0,52.0,1,1,Washington,6.0,20.0,25.0,4.0,40.0,94.0,13.0,18.0,99.0,12.0,14.0,20.0,19.0,Atlanta,10/27/2016_Atlanta_Washington
28,8.0,23.0,22.0,6.0,38.0,76.0,15.0,24.0,3.0,25.0,99.0,6.0,11.0,36.0,0,0,Chicago,11.0,25.0,25.0,1.0,36.0,92.0,22.0,30.0,105.0,18.0,5.0,21.0,12.0,Boston,10/27/2016_Chicago_Boston
29,11.0,25.0,25.0,1.0,36.0,92.0,22.0,30.0,18.0,21.0,105.0,5.0,12.0,55.0,1,1,Boston,8.0,23.0,22.0,6.0,38.0,76.0,15.0,24.0,99.0,3.0,6.0,25.0,11.0,Chicago,10/27/2016_Chicago_Boston
30,8.0,29.0,12.0,4.0,37.0,91.0,32.0,46.0,15.0,25.0,114.0,10.0,7.0,48.0,0,1,Portland,4.0,18.0,18.0,4.0,39.0,85.0,24.0,32.0,106.0,9.0,4.0,34.0,14.0,LA Clippers,10/27/2016_Portland_LA Clippers
