,3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,Team,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,opponent,Game_Id
31,4.0,18.0,18.0,4.0,39.0,85.0,24.0,32.0,9.0,34.0,106.0,4.0,14.0,48.0,1,0,LA Clippers,8.0,29.0,12.0,4.0,37.0,91.0,32.0,46.0,114.0,15.0,10.0,25.0,7.0,Portland,10/27/2016_Portland_LA Clippers
32,6.0,18.0,23.0,8.0,36.0,79.0,24.0,27.0,9.0,26.0,102.0,10.0,9.0,40.0,0,1,Sacramento,6.0,20.0,22.0,0.0,28.0,70.0,32.0,38.0,94.0,6.0,7.0,21.0,15.0,San Antonio,10/27/2016_Sacramento_San Antonio
33,6.0,20.0,22.0,0.0,28.0,70.0,32.0,38.0,6.0,21.0,94.0,7.0,15.0,40.0,1,0,San Antonio,6.0,18.0,23.0,8.0,36.0,79.0,24.0,27.0,102.0,9.0,10.0,26.0,9.0,Sacramento,10/27/2016_Sacramento_San Antonio
34,7.0,24.0,22.0,6.0,37.0,98.0,13.0,20.0,14.0,22.0,94.0,7.0,13.0,49.0,0,0,Brooklyn,10.0,33.0,20.0,4.0,38.0,87.0,17.0,20.0,103.0,12.0,6.0,23.0,16.0,Indiana,10/28/2016_Brooklyn_Indiana
35,10.0,33.0,20.0,4.0,38.0,87.0,17.0,20.0,12.0,23.0,103.0,6.0,16.0,52.0,1,1,Indiana,7.0,24.0,22.0,6.0,37.0,98.0,13.0,20.0,94.0,14.0,7.0,22.0,13.0,Brooklyn,10/28/2016_Brooklyn_Indiana
36,15.0,32.0,21.0,1.0,33.0,70.0,25.0,31.0,5.0,22.0,106.0,6.0,18.0,41.0,0,1,Dallas,8.0,29.0,13.0,2.0,35.0,80.0,20.0,24.0,98.0,6.0,11.0,21.0,9.0,Houston,10/28/2016_Dallas_Houston
37,8.0,29.0,13.0,2.0,35.0,80.0,20.0,24.0,6.0,21.0,98.0,11.0,9.0,34.0,1,0,Houston,15.0,32.0,21.0,1.0,33.0,70.0,25.0,31.0,106.0,5.0,6.0,22.0,18.0,Dallas,10/28/2016_Dallas_Houston
38,8.0,26.0,20.0,3.0,33.0,95.0,8.0,12.0,14.0,13.0,82.0,8.0,9.0,44.0,0,0,Detroit,7.0,19.0,27.0,4.0,48.0,95.0,5.0,6.0,108.0,9.0,8.0,11.0,12.0,Orlando,10/28/2016_Detroit_Orlando
39,7.0,19.0,27.0,4.0,48.0,95.0,5.0,6.0,9.0,11.0,108.0,8.0,12.0,53.0,1,1,Orlando,8.0,26.0,20.0,3.0,33.0,95.0,8.0,12.0,82.0,14.0,8.0,13.0,9.0,Detroit,10/28/2016_Detroit_Orlando
40,7.0,22.0,20.0,9.0,35.0,92.0,20.0,24.0,13.0,20.0,97.0,10.0,8.0,49.0,0,1,Miami,14.0,34.0,19.0,4.0,32.0,86.0,13.0,20.0,91.0,11.0,2.0,23.0,19.0,Charlotte,10/28/2016_Miami_Charlotte
41,14.0,34.0,19.0,4.0,32.0,86.0,13.0,20.0,11.0,23.0,91.0,2.0,19.0,52.0,1,0,Charlotte,7.0,22.0,20.0,9.0,35.0,92.0,20.0,24.0,97.0,13.0,10.0,20.0,8.0,Miami,10/28/2016_Miami_Charlotte
42,9.0,28.0,32.0,2.0,44.0,91.0,25.0,28.0,9.0,22.0,122.0,8.0,14.0,49.0,0,1,New Orleans,5.0,22.0,29.0,5.0,47.0,100.0,15.0,23.0,114.0,12.0,8.0,24.0,13.0,Golden State,10/28/2016_New Orleans_Golden State
43,5.0,22.0,29.0,5.0,47.0,100.0,15.0,23.0,12.0,24.0,114.0,8.0,13.0,49.0,1,0,Golden State,9.0,28.0,32.0,2.0,44.0,91.0,25.0,28.0,122.0,9.0,8.0,22.0,14.0,New Orleans,10/28/2016_New Orleans_Golden State
44,5.0,28.0,15.0,3.0,42.0,94.0,21.0,32.0,7.0,29.0,110.0,11.0,15.0,44.0,0,0,Oklahoma City,5.0,21.0,13.0,3.0,40.0,96.0,28.0,38.0,113.0,14.0,11.0,24.0,22.0,Phoenix,10/28/2016_Oklahoma City_Phoenix
45,5.0,21.0,13.0,3.0,40.0,96.0,28.0,38.0,14.0,24.0,113.0,11.0,22.0,57.0,1,1,Phoenix,5.0,28.0,15.0,3.0,42.0,94.0,21.0,32.0,110.0,7.0,11.0,29.0,15.0,Oklahoma City,10/28/2016_Oklahoma City_Phoenix
46,12.0,32.0,20.0,3.0,33.0,79.0,16.0,22.0,9.0,15.0,94.0,8.0,17.0,40.0,0,1,Toronto,4.0,16.0,12.0,3.0,35.0,90.0,17.0,18.0,91.0,18.0,9.0,20.0,18.0,Cleveland,10/28/2016_Toronto_Cleveland
47,4.0,16.0,12.0,3.0,35.0,90.0,17.0,18.0,18.0,20.0,91.0,9.0,18.0,51.0,1,0,Cleveland,12.0,32.0,20.0,3.0,33.0,79.0,16.0,22.0,94.0,9.0,8.0,15.0,17.0,Toronto,10/28/2016_Toronto_Cleveland
48,9.0,23.0,16.0,7.0,32.0,84.0,16.0,21.0,11.0,29.0,89.0,6.0,14.0,43.0,0,0,Utah,6.0,25.0,14.0,7.0,31.0,75.0,28.0,40.0,96.0,13.0,4.0,18.0,14.0,LA Lakers,10/28/2016_Utah_LA Lakers
49,6.0,25.0,14.0,7.0,31.0,75.0,28.0,40.0,13.0,18.0,96.0,4.0,14.0,47.0,1,1,LA Lakers,9.0,23.0,16.0,7.0,32.0,84.0,16.0,21.0,89.0,11.0,6.0,29.0,14.0,Utah,10/28/2016_Utah_LA Lakers
50,7.0,18.0,34.0,7.0,43.0,88.0,8.0,9.0,8.0,16.0,101.0,8.0,13.0,33.0,0,0,Chicago,9.0,21.0,34.0,6.0,45.0,86.0,19.0,21.0,118.0,13.0,8.0,14.0,12.0,Indiana,10/29/2016_Chicago_Indiana
51,9.0,21.0,34.0,6.0,45.0,86.0,19.0,21.0,13.0,14.0,118.0,8.0,12.0,47.0,1,1,Indiana,7.0,18.0,34.0,7.0,43.0,88.0,8.0,9.0,101.0,8.0,8.0,16.0,13.0,Chicago,10/29/2016_Chicago_Indiana
52,15.0,31.0,25.0,6.0,39.0,81.0,11.0,17.0,4.0,26.0,104.0,4.0,13.0,42.0,0,1,Charlotte,9.0,32.0,22.0,6.0,32.0,79.0,25.0,33.0,98.0,6.0,8.0,17.0,8.0,Boston,10/29/2016_Charlotte_Boston
53,9.0,32.0,22.0,6.0,32.0,79.0,25.0,33.0,6.0,17.0,98.0,8.0,8.0,38.0,1,0,Boston,15.0,31.0,25.0,6.0,39.0,81.0,11.0,17.0,104.0,4.0,4.0,26.0,13.0,Charlotte,10/29/2016_Charlotte_Boston
54,8.0,28.0,21.0,5.0,38.0,84.0,15.0,26.0,13.0,23.0,99.0,6.0,20.0,50.0,0,0,Cleveland,11.0,37.0,17.0,6.0,36.0,88.0,22.0,30.0,105.0,13.0,8.0,27.0,9.0,Orlando,10/29/2016_Cleveland_Orlando
55,11.0,37.0,17.0,6.0,36.0,88.0,22.0,30.0,13.0,27.0,105.0,8.0,9.0,40.0,1,1,Orlando,8.0,28.0,21.0,5.0,38.0,84.0,15.0,26.0,99.0,13.0,6.0,23.0,20.0,Cleveland,10/29/2016_Cleveland_Orlando
56,10.0,32.0,23.0,8.0,45.0,98.0,15.0,21.0,5.0,30.0,115.0,10.0,15.0,45.0,0,1,Denver,6.0,23.0,19.0,5.0,38.0,100.0,31.0,39.0,113.0,16.0,10.0,21.0,17.0,Portland,10/29/2016_Denver_Portland
57,6.0,23.0,19.0,5.0,38.0,100.0,31.0,39.0,16.0,21.0,113.0,10.0,17.0,61.0,1,0,Portland,10.0,32.0,23.0,8.0,45.0,98.0,15.0,21.0,115.0,5.0,10.0,30.0,15.0,Denver,10/29/2016_Denver_Portland
58,11.0,34.0,23.0,6.0,37.0,84.0,23.0,28.0,11.0,22.0,108.0,12.0,18.0,45.0,0,0,Milwaukee,8.0,22.0,25.0,5.0,41.0,88.0,20.0,24.0,110.0,8.0,14.0,23.0,14.0,Brooklyn,10/29/2016_Milwaukee_Brooklyn
59,8.0,22.0,25.0,5.0,41.0,88.0,20.0,24.0,8.0,23.0,110.0,14.0,14.0,44.0,1,1,Brooklyn,11.0,34.0,23.0,6.0,37.0,84.0,23.0,28.0,108.0,11.0,12.0,22.0,18.0,Milwaukee,10/29/2016_Milwaukee_Brooklyn
60,9.0,25.0,19.0,2.0,37.0,86.0,21.0,26.0,11.0,30.0,104.0,3.0,12.0,40.0,0,0,New York,6.0,21.0,24.0,4.0,40.0,76.0,25.0,39.0,111.0,6.0,4.0,25.0,12.0,Memphis,10/29/2016_New York_Memphis
61,6.0,21.0,24.0,4.0,40.0,76.0,25.0,39.0,6.0,25.0,111.0,4.0,12.0,41.0,1,1,Memphis,9.0,25.0,19.0,2.0,37.0,86.0,21.0,26.0,104.0,11.0,3.0,30.0,12.0,New York,10/29/2016_New York_Memphis
62,5.0,20.0,31.0,7.0,42.0,85.0,15.0,23.0,6.0,14.0,104.0,11.0,12.0,47.0,0,1,Philadelphia,5.0,18.0,16.0,5.0,28.0,80.0,11.0,15.0,72.0,4.0,9.0,20.0,20.0,Atlanta,10/29/2016_Philadelphia_Atlanta
63,5.0,18.0,16.0,5.0,28.0,80.0,11.0,15.0,4.0,20.0,72.0,9.0,20.0,39.0,1,0,Atlanta,5.0,20.0,31.0,7.0,42.0,85.0,15.0,23.0,104.0,6.0,11.0,14.0,12.0,Philadelphia,10/29/2016_Philadelphia_Atlanta
64,7.0,22.0,19.0,5.0,37.0,70.0,22.0,31.0,7.0,25.0,103.0,6.0,11.0,36.0,0,0,Sacramento,9.0,26.0,24.0,5.0,39.0,85.0,19.0,25.0,106.0,11.0,6.0,24.0,13.0,Minnesota,10/29/2016_Sacramento_Minnesota
65,9.0,26.0,24.0,5.0,39.0,85.0,19.0,25.0,11.0,24.0,106.0,6.0,13.0,31.0,1,1,Minnesota,7.0,22.0,19.0,5.0,37.0,70.0,22.0,31.0,103.0,7.0,6.0,25.0,11.0,Sacramento,10/29/2016_Sacramento_Minnesota
66,4.0,22.0,14.0,5.0,32.0,86.0,11.0,15.0,7.0,19.0,79.0,6.0,9.0,45.0,0,0,San Antonio,10.0,24.0,21.0,7.0,35.0,83.0,18.0,23.0,98.0,6.0,6.0,15.0,9.0,New Orleans,10/29/2016_San Antonio_New Orleans
67,10.0,24.0,21.0,7.0,35.0,83.0,18.0,23.0,6.0,15.0,98.0,6.0,9.0,50.0,1,1,New Orleans,4.0,22.0,14.0,5.0,32.0,86.0,11.0,15.0,79.0,7.0,6.0,19.0,9.0,San Antonio,10/29/2016_San Antonio_New Orleans
68,4.0,17.0,22.0,4.0,34.0,87.0,11.0,14.0,10.0,16.0,83.0,10.0,12.0,40.0,0,0,Detroit,5.0,20.0,23.0,4.0,39.0,88.0,15.0,20.0,98.0,16.0,8.0,14.0,15.0,Milwaukee,10/30/2016_Detroit_Milwaukee
69,5.0,20.0,23.0,4.0,39.0,88.0,15.0,20.0,16.0,14.0,98.0,8.0,15.0,58.0,1,1,Milwaukee,4.0,17.0,22.0,4.0,34.0,87.0,11.0,14.0,83.0,10.0,10.0,16.0,12.0,Detroit,10/30/2016_Detroit_Milwaukee
70,11.0,31.0,17.0,3.0,32.0,86.0,17.0,20.0,13.0,17.0,92.0,8.0,9.0,43.0,0,0,Houston,11.0,31.0,16.0,4.0,34.0,81.0,14.0,21.0,93.0,9.0,5.0,21.0,17.0,Dallas,10/30/2016_Houston_Dallas
71,11.0,31.0,16.0,4.0,34.0,81.0,14.0,21.0,9.0,21.0,93.0,5.0,17.0,47.0,1,1,Dallas,11.0,31.0,17.0,3.0,32.0,86.0,17.0,20.0,92.0,13.0,8.0,17.0,9.0,Houston,10/30/2016_Houston_Dallas
72,7.0,19.0,18.0,2.0,29.0,73.0,10.0,13.0,7.0,22.0,75.0,8.0,18.0,43.0,0,0,LA Clippers,6.0,27.0,17.0,4.0,34.0,83.0,14.0,20.0,88.0,14.0,8.0,14.0,13.0,Utah,10/30/2016_LA Clippers_Utah
73,6.0,27.0,17.0,4.0,34.0,83.0,14.0,20.0,14.0,14.0,88.0,8.0,13.0,49.0,1,1,Utah,7.0,19.0,18.0,2.0,29.0,73.0,10.0,13.0,75.0,7.0,8.0,22.0,18.0,LA Clippers,10/30/2016_LA Clippers_Utah
74,5.0,25.0,19.0,4.0,38.0,86.0,22.0,25.0,8.0,23.0,103.0,8.0,14.0,40.0,0,0,Memphis,15.0,31.0,24.0,2.0,39.0,88.0,19.0,26.0,112.0,11.0,9.0,26.0,14.0,Washington,10/30/2016_Memphis_Washington
75,15.0,31.0,24.0,2.0,39.0,88.0,19.0,26.0,11.0,26.0,112.0,9.0,14.0,47.0,1,1,Washington,5.0,25.0,19.0,4.0,38.0,86.0,22.0,25.0,103.0,8.0,8.0,23.0,14.0,Memphis,10/30/2016_Memphis_Washington
76,10.0,18.0,20.0,5.0,37.0,82.0,22.0,26.0,14.0,26.0,106.0,4.0,15.0,44.0,0,1,Miami,7.0,20.0,19.0,6.0,37.0,80.0,18.0,26.0,99.0,6.0,7.0,24.0,12.0,San Antonio,10/30/2016_Miami_San Antonio
77,7.0,20.0,19.0,6.0,37.0,80.0,18.0,26.0,6.0,24.0,99.0,7.0,12.0,36.0,1,0,San Antonio,10.0,18.0,20.0,5.0,37.0,82.0,22.0,26.0,106.0,14.0,4.0,26.0,15.0,Miami,10/30/2016_Miami_San Antonio
78,7.0,32.0,20.0,2.0,35.0,87.0,19.0,24.0,11.0,18.0,96.0,15.0,21.0,41.0,0,0,Oklahoma City,9.0,26.0,29.0,6.0,45.0,95.0,14.0,17.0,113.0,10.0,15.0,22.0,19.0,LA Lakers,10/30/2016_Oklahoma City_LA Lakers
79,9.0,26.0,29.0,6.0,45.0,95.0,14.0,17.0,10.0,22.0,113.0,15.0,19.0,45.0,1,1,LA Lakers,7.0,32.0,20.0,2.0,35.0,87.0,19.0,24.0,96.0,11.0,15.0,18.0,21.0,Oklahoma City,10/30/2016_Oklahoma City_LA Lakers
80,8.0,29.0,27.0,5.0,35.0,83.0,28.0,33.0,7.0,23.0,106.0,6.0,15.0,43.0,0,1,Phoenix,8.0,23.0,19.0,6.0,37.0,90.0,18.0,25.0,100.0,11.0,10.0,26.0,11.0,Golden State,10/30/2016_Phoenix_Golden State
81,8.0,23.0,19.0,6.0,37.0,90.0,18.0,25.0,11.0,26.0,100.0,10.0,11.0,50.0,1,0,Golden State,8.0,29.0,27.0,5.0,35.0,83.0,28.0,33.0,106.0,7.0,6.0,23.0,15.0,Phoenix,10/30/2016_Phoenix_Golden State
82,10.0,23.0,26.0,6.0,36.0,75.0,13.0,19.0,6.0,34.0,95.0,10.0,19.0,38.0,0,0,Atlanta,11.0,30.0,24.0,6.0,33.0,79.0,29.0,47.0,106.0,17.0,11.0,20.0,13.0,Sacramento,10/31/2016_Atlanta_Sacramento
83,11.0,30.0,24.0,6.0,33.0,79.0,29.0,47.0,17.0,20.0,106.0,11.0,13.0,43.0,1,1,Sacramento,10.0,23.0,26.0,6.0,36.0,75.0,13.0,19.0,95.0,6.0,10.0,34.0,19.0,Atlanta,10/31/2016_Atlanta_Sacramento
84,11.0,27.0,26.0,9.0,45.0,89.0,17.0,18.0,13.0,22.0,118.0,9.0,19.0,58.0,0,1,Brooklyn,5.0,31.0,14.0,3.0,33.0,96.0,17.0,21.0,88.0,16.0,12.0,15.0,15.0,Chicago,10/31/2016_Brooklyn_Chicago
85,5.0,31.0,14.0,3.0,33.0,96.0,17.0,21.0,16.0,15.0,88.0,12.0,15.0,45.0,1,0,Chicago,11.0,27.0,26.0,9.0,45.0,89.0,17.0,18.0,118.0,13.0,9.0,22.0,19.0,Brooklyn,10/31/2016_Brooklyn_Chicago
86,5.0,15.0,19.0,0.0,35.0,84.0,23.0,31.0,10.0,33.0,98.0,11.0,20.0,44.0,0,0,LA Clippers,6.0,16.0,21.0,4.0,40.0,80.0,30.0,38.0,116.0,5.0,8.0,23.0,16.0,Phoenix,10/31/2016_LA Clippers_Phoenix
87,6.0,16.0,21.0,4.0,40.0,80.0,30.0,38.0,5.0,23.0,116.0,8.0,16.0,44.0,1,1,Phoenix,5.0,15.0,19.0,0.0,35.0,84.0,23.0,31.0,98.0,10.0,11.0,33.0,20.0,LA Clippers,10/31/2016_LA Clippers_Phoenix
88,9.0,22.0,14.0,9.0,33.0,81.0,27.0,35.0,11.0,18.0,102.0,2.0,8.0,46.0,0,0,Toronto,4.0,16.0,16.0,9.0,41.0,88.0,19.0,25.0,105.0,11.0,7.0,28.0,7.0,Denver,10/31/2016_Toronto_Denver
89,4.0,16.0,16.0,9.0,41.0,88.0,19.0,25.0,11.0,28.0,105.0,7.0,7.0,43.0,1,1,Denver,9.0,22.0,14.0,9.0,33.0,81.0,27.0,35.0,102.0,11.0,2.0,18.0,8.0,Toronto,10/31/2016_Toronto_Denver
90,17.0,44.0,30.0,2.0,43.0,90.0,17.0,25.0,11.0,25.0,120.0,5.0,7.0,32.0,0,0,Cleveland,16.0,32.0,22.0,2.0,43.0,83.0,26.0,31.0,128.0,12.0,4.0,21.0,11.0,Houston,11/1/2016_Cleveland_Houston
91,16.0,32.0,22.0,2.0,43.0,83.0,26.0,31.0,12.0,21.0,128.0,4.0,11.0,46.0,1,1,Houston,17.0,44.0,30.0,2.0,43.0,90.0,17.0,25.0,120.0,11.0,5.0,25.0,7.0,Cleveland,11/1/2016_Cleveland_Houston
92,7.0,22.0,18.0,9.0,35.0,86.0,12.0,15.0,8.0,20.0,89.0,6.0,11.0,43.0,0,0,Detroit,8.0,13.0,19.0,5.0,41.0,89.0,12.0,21.0,102.0,10.0,7.0,16.0,10.0,New York,11/1/2016_Detroit_New York
93,8.0,13.0,19.0,5.0,41.0,89.0,12.0,21.0,10.0,16.0,102.0,7.0,10.0,48.0,1,1,New York,7.0,22.0,18.0,9.0,35.0,86.0,12.0,15.0,89.0,8.0,6.0,20.0,11.0,Detroit,11/1/2016_Detroit_New York
94,6.0,28.0,14.0,2.0,40.0,89.0,22.0,25.0,11.0,25.0,108.0,8.0,19.0,44.0,0,0,Indiana,10.0,28.0,19.0,8.0,41.0,87.0,23.0,29.0,115.0,11.0,10.0,20.0,15.0,LA Lakers,11/1/2016_Indiana_LA Lakers
