3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,opponent,opp_TRB,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,Team,Game_Id
4.0,16.0,27.0,7.0,47.0,97.0,10.0,16.0,16.0,22.0,108.0,5.0,10.0,52.0,0,1,Orlando,45.0,6.0,18.0,20.0,4.0,34.0,89.0,22.0,28.0,96.0,15.0,5.0,15.0,11.0,Miami,10/26/2016_Orlando_Miami
6.0,18.0,20.0,4.0,34.0,89.0,22.0,28.0,15.0,15.0,96.0,5.0,11.0,45.0,1,0,Miami,52.0,4.0,16.0,27.0,7.0,47.0,97.0,10.0,16.0,108.0,16.0,5.0,22.0,10.0,Orlando,10/26/2016_Orlando_Miami
6.0,22.0,19.0,3.0,39.0,94.0,19.0,26.0,13.0,23.0,103.0,7.0,10.0,53.0,0,1,Philadelphia,43.0,7.0,24.0,21.0,10.0,36.0,84.0,18.0,25.0,97.0,5.0,5.0,22.0,13.0,Oklahoma City,10/26/2016_Philadelphia_Oklahoma City
7.0,24.0,21.0,10.0,36.0,84.0,18.0,25.0,5.0,22.0,97.0,5.0,13.0,43.0,1,0,Oklahoma City,53.0,6.0,22.0,19.0,3.0,39.0,94.0,19.0,26.0,103.0,13.0,7.0,23.0,10.0,Philadelphia,10/26/2016_Philadelphia_Oklahoma City
6.0,21.0,24.0,5.0,44.0,86.0,19.0,26.0,10.0,20.0,113.0,5.0,13.0,41.0,0,1,Phoenix,41.0,4.0,16.0,20.0,3.0,36.0,77.0,18.0,27.0,94.0,10.0,6.0,29.0,18.0,Sacramento,10/26/2016_Phoenix_Sacramento
4.0,16.0,20.0,3.0,36.0,77.0,18.0,27.0,10.0,29.0,94.0,6.0,18.0,41.0,1,0,Sacramento,41.0,6.0,21.0,24.0,5.0,44.0,86.0,19.0,26.0,113.0,10.0,5.0,20.0,13.0,Phoenix,10/26/2016_Phoenix_Sacramento
4.0,22.0,17.0,0.0,35.0,84.0,17.0,22.0,8.0,24.0,91.0,8.0,13.0,40.0,0,0,Toronto,51.0,3.0,18.0,17.0,0.0,41.0,86.0,24.0,29.0,109.0,14.0,8.0,22.0,11.0,Detroit,10/26/2016_Toronto_Detroit
3.0,18.0,17.0,0.0,41.0,86.0,24.0,29.0,14.0,22.0,109.0,8.0,11.0,51.0,1,1,Detroit,40.0,4.0,22.0,17.0,0.0,35.0,84.0,17.0,22.0,91.0,8.0,8.0,24.0,13.0,Toronto,10/26/2016_Toronto_Detroit
6.0,20.0,25.0,4.0,40.0,94.0,13.0,18.0,12.0,20.0,99.0,14.0,19.0,40.0,0,0,Atlanta,52.0,12.0,26.0,28.0,7.0,44.0,88.0,14.0,18.0,114.0,14.0,13.0,19.0,21.0,Washington,10/27/2016_Atlanta_Washington
12.0,26.0,28.0,7.0,44.0,88.0,14.0,18.0,14.0,19.0,114.0,13.0,21.0,52.0,1,1,Washington,40.0,6.0,20.0,25.0,4.0,40.0,94.0,13.0,18.0,99.0,12.0,14.0,20.0,19.0,Atlanta,10/27/2016_Atlanta_Washington
8.0,23.0,22.0,6.0,38.0,76.0,15.0,24.0,3.0,25.0,99.0,6.0,11.0,36.0,0,0,Chicago,55.0,11.0,25.0,25.0,1.0,36.0,92.0,22.0,30.0,105.0,18.0,5.0,21.0,12.0,Boston,10/27/2016_Chicago_Boston
